Wyckoff Av & Jefferson St	(2, 0) 
Amsterdam Ave & W 79 St	(0, 1) 
Carroll St & 6 Ave	(1, 0) 
Cumberland St & Lafayette Ave	(1, 1) 
Reade St & Broadway	(2, 4) 
Fulton St & Adams St	(36, 22) 
Classon Ave & St Marks Ave	(16, 13) 
W 52 St & 6 Ave	(0, 1) 
India St & Manhattan Ave	(1, 4) 
St Marks Pl & 1 Ave	(4, 1) 
Riverside Dr & W 82 St	(12, 10) 
E 72 St & York Ave	(2, 4) 
Washington Ave & Park Ave	(2, 0) 
Bayard St & Baxter St	(3, 2) 
Riverside Dr & W 78 St	(1, 3) 
Banker St & Meserole Ave	(0, 1) 
Fulton St & Rockwell Pl	(1, 0) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 0) 
Stanton St & Chrystie St	(2, 1) 
Henry St & Grand St	(1, 2) 
Forsyth St & Canal St	(3, 4) 
2 Ave & 9 St	(1, 0) 
W 78 St & Broadway	(0, 1) 
E 27 St & 1 Ave	(1, 1) 
St James Pl & Pearl St	(1, 1) 
DeKalb Ave & S Portland Ave	(1, 0) 
Carlton Ave & Dean St	(1, 1) 
Pearl St & Anchorage Pl	(0, 1) 
N 6 St & Bedford Ave	(42, 43) 
Broadway & E 22 St	(7, 4) 
Park Pl & Vanderbilt Ave	(1, 1) 
Stanton St & Norfolk St	(3, 3) 
W 82 St & Central Park West	(1, 0) 
Union St & Nevins St	(0, 1) 
Broad St & Bridge St	(10, 10) 
Sterling St & Bedford Ave	(1, 0) 
9 St & 44 Rd	(0, 1) 
E 88 St & Park Ave	(1, 0) 
Amsterdam Ave & W 73 St	(4, 2) 
E 13 St & Avenue A	(7, 5) 
Howard St & Centre St	(26, 40) 
Spruce St & Nassau St	(0, 3) 
Cadman Plaza E & Johnson St	(3, 1) 
Lexington Ave & Classon Ave	(1, 1) 
Lexington Ave & E 36 St	(1, 1) 
E 32 St & Park Ave	(2, 0) 
E 81 St & Park Ave	(0, 1) 
5 St & 6 Ave	(0, 1) 
Norfolk St & Broome St	(7, 5) 
W 52 St & 5 Ave	(1, 0) 
Bank St & Hudson St	(30, 38) 
Clark St & Henry St	(0, 1) 
W 37 St & 5 Ave	(2, 1) 
6 Ave & 9 St	(4, 2) 
E 47 St & 2 Ave	(1, 0) 
Washington Pl & Broadway	(3, 2) 
South End Ave & Liberty St	(7, 5) 
Greenwich Ave & 8 Ave	(2, 3) 
Broadway & W 49 St	(1, 3) 
E 53 St & Madison Ave	(0, 1) 
Bond St & Fulton St	(0, 2) 
Pike St & Monroe St	(2, 1) 
Mercer St & Spring St	(4, 0) 
Cadman Plaza West & Montague St	(0, 1) 
W 20 St & 11 Ave	(3, 2) 
Berry St & N 8 St	(1, 0) 
5 Ave & E 73 St	(3, 2) 
Perry St & Bleecker St	(1, 1) 
E 45 St & 3 Ave	(1, 1) 
Eastern Pkwy & Franklin Ave	(1, 0) 
E 52 St & 2 Ave	(1, 2) 
MacDougal St & Washington Sq	(0, 2) 
S 4 St & Wythe Ave	(4, 4) 
E 82 St & East End Ave	(4, 0) 
E 24 St & Park Ave S	(1, 3) 
Center Blvd & 48 Ave	(1, 0) 
Clermont Ave & Lafayette Ave	(1, 0) 
E 89 St & 3 Ave	(1, 0) 
E 7 St & Avenue A	(8, 4) 
McGuinness Blvd & Eagle St	(8, 6) 
Columbia St & Rivington St	(2, 2) 
Allen St & Rivington St	(5, 2) 
Graham Ave & Grand St	(1, 0) 
Central Park West & W 100 St	(0, 1) 
Hope St & Union Ave	(2, 0) 
Willoughby St & Fleet St	(4, 2) 
Kane St & Clinton St	(0, 1) 
W 45 St & 6 Ave	(1, 1) 
2 Ave & E 31 St	(7, 3) 
Jay St & Tech Pl	(0, 2) 
10 St & 5 Ave	(1, 1) 
Rivington St & Chrystie St	(3, 5) 
Lewis Ave & Kosciuszko St	(0, 1) 
Flushing Ave & Vanderbilt Ave	(0, 1) 
Riverside Dr & W 91 St	(0, 3) 
E 6 St & Avenue D	(2, 0) 
Berkeley Pl & 7 Ave	(1, 1) 
E 84 St & Park Ave	(0, 1) 
3 Ave & E 72 St	(2, 2) 
Prospect Pl & Underhill Ave	(2, 1) 
E 84 St & 1 Ave	(2, 2) 
E 51 St & Lexington Ave	(11, 16) 
W 15 St & 10 Ave	(32, 28) 
W 55 St & 6 Ave	(0, 2) 
Gansevoort St & Hudson St	(0, 2) 
Wythe Ave & Metropolitan Ave	(3, 3) 
E 2 St & Avenue A	(6, 3) 
Bedford Ave & Nassau Ave	(3, 2) 
West Thames St	(1, 5) 
E 84 St & 3 Ave	(6, 3) 
Lispenard St & Broadway	(42, 35) 
Nassau Ave & Russell St	(0, 1) 
