Lispenard St & Broadway	(177, 190)
Howard St & Centre St	(180, 177)
Bank St & Hudson St	(140, 142)
W 38 St & 8 Ave	(13, 12)
3 St & Prospect Park West	(3, 1)
3 St & 7 Ave	(50, 50)
Underhill Ave & Pacific St	(40, 38)
St Johns Pl & Washington Ave	(1, 1)
Fulton St & Adams St	(124, 95)
Clinton St & Union St	(5, 6)
Central Park West & W 72 St	(8, 5)
1 Ave & E 78 St	(191, 196)
Douglass St & 4 Ave	(1, 1)
Grand St & Elizabeth St	(16, 14)
Suffolk St & Stanton St	(144, 146)
E 47 St & 2 Ave	(7, 7)
1 Ave & E 18 St	(194, 195)
Broadway & E 14 St	(31, 36)
Cleveland Pl & Spring St	(23, 17)
Union St & Bedford Ave	(0, 2)
Christopher St & Greenwich St	(30, 18)
LaGuardia Pl & W 3 St	(13, 9)
E 81 St & York Ave	(89, 105)
E 11 St & 1 Ave	(176, 175)
John St & William St	(13, 8)
W 18 St & 6 Ave	(17, 8)
E 33 St & 1 Ave	(8, 16)
N 6 St & Bedford Ave	(157, 158)
Bedford Ave & Nassau Ave	(8, 7)
E 17 St & Broadway	(27, 15)
Cadman Plaza E & Johnson St	(1, 5)
W 20 St & 11 Ave	(14, 23)
Vesey Pl & River Terrace	(264, 263)
St Marks Pl & 1 Ave	(7, 16)
9 Ave & W 45 St	(18, 10)
Broadway & W 29 St	(11, 7)
W 15 St & 10 Ave	(150, 175)
W 15 St & 7 Ave	(12, 4)
South End Ave & Liberty St	(21, 19)
Broad St & Bridge St	(50, 77)
W 49 St & 8 Ave	(11, 7)
Wyckoff St & Bond St	(0, 1)
44 Dr & 21 St	(2, 2)
Vernon Blvd & 50 Ave	(118, 118)
Greenwich Ave & Charles St	(10, 9)
E 27 St & 1 Ave	(8, 10)
E 23 St & 1 Ave	(238, 248)
W 21 St & 6 Ave	(19, 18)
Cooper Square & Astor Pl	(12, 9)
2 Ave & E 31 St	(15, 8)
W 43 St & 10 Ave	(166, 168)
W 45 St & 8 Ave	(12, 7)
1 Ave & E 16 St	(21, 12)
Murray St & West St	(131, 156)
10 St & 7 Ave	(2, 4)
6 Ave & Canal St	(12, 18)
E 59 St & Madison Ave	(130, 130)
Stanton St & Norfolk St	(6, 3)
Classon Ave & St Marks Ave	(48, 39)
Dean St & 4 Ave	(9, 4)
E 53 St & 3 Ave	(12, 4)
Cliff St & Fulton St	(11, 10)
E 25 St & 2 Ave	(10, 7)
W 26 St & 10 Ave	(13, 18)
Duane St & Greenwich St	(9, 6)
E 2 St & Avenue C	(121, 122)
8 Ave & W 33 St	(9, 18)
5 Ave & E 78 St	(7, 10)
West Thames St	(6, 16)
Greenwich St & W Houston St	(14, 19)
W 33 St & 7 Ave	(21, 12)
W 22 St & 8 Ave	(12, 9)
West St & Chambers St	(20, 26)
E 72 St & York Ave	(7, 12)
Washington St & Gansevoort St	(11, 10)
Union Ave & N 12 St	(3, 2)
E 68 St & 3 Ave	(3, 4)
2 Ave & E 72 St	(15, 16)
Avenue D & E 3 St	(8, 8)
E 91 St & Park Ave	(5, 1)
Fulton St & Waverly Ave	(4, 4)
MacDougal St & Prince St	(15, 17)
E 24 St & Park Ave S	(19, 18)
Riverside Dr & W 82 St	(103, 81)
Riverside Dr & W 72 St	(10, 5)
Duffield St & Willoughby St	(4, 7)
Clinton Ave & Flushing Ave	(2, 3)
Lafayette St & E 8 St	(14, 17)
Bushwick Ave & Powers St	(1, 2)
Madison Ave & E 120 St	(1, 0)
5 Ave & 3 St	(2, 1)
W 31 St & 7 Ave	(22, 12)
E 77 St & 3 Ave	(14, 20)
Great Jones St	(26, 31)
Central Park S & 6 Ave	(9, 6)
Pier 40 - Hudson River Park	(14, 10)
E 93 St & 2 Ave	(4, 1)
E 5 St & Avenue C	(4, 5)
E 84 St & 3 Ave	(10, 10)
Pershing Square South	(8, 5)
E 19 St & 3 Ave	(6, 5)
E 6 St & Avenue B	(8, 9)
1 Ave & E 68 St	(17, 18)
E 75 St & 3 Ave	(3, 2)
Little West St & 1 Pl	(18, 18)
7 Ave & Central Park South	(4, 1)
E 51 St & Lexington Ave	(131, 132)
W 64 St & Thelonious Monk Circle	(130, 137)
8 Ave & W 31 St	(27, 30)
Carmine St & 6 Ave	(13, 18)
Broadway & W 41 St	(11, 18)
Broadway & W 49 St	(12, 7)
7 Ave & Park Pl	(9, 11)
W 82 St & Central Park West	(5, 7)
Broadway & W 25 St	(9, 12)
W 20 St & 8 Ave	(3, 7)
St James Pl & Pearl St	(5, 1)
