Murray St & West St	(62, 82)
Bank St & Washington St	(1, 5)
Atlantic Ave & Fort Greene Pl	(1, 3)
Classon Ave & St Marks Ave	(23, 30)
W 43 St & 10 Ave	(104, 104)
Broadway & W 56 St	(3, 4)
11 Ave & W 41 St	(7, 5)
Cleveland Pl & Spring St	(8, 8)
Lispenard St & Broadway	(121, 118)
Christopher St & Greenwich St	(17, 12)
Vesey Pl & River Terrace	(134, 125)
E 51 St & Lexington Ave	(77, 82)
W 41 St & 8 Ave	(9, 10)
3 St & Prospect Park West	(2, 0)
3 St & 7 Ave	(29, 21)
Cumberland St & Lafayette Ave	(1, 0)
Clinton Ave & Myrtle Ave	(60, 59)
N 6 St & Bedford Ave	(86, 97)
Nassau Ave & Newell St	(6, 6)
E 72 St & York Ave	(9, 7)
E 81 St & York Ave	(49, 46)
Bank St & Hudson St	(65, 82)
8 Ave & W 33 St	(18, 16)
Wythe Ave & Metropolitan Ave	(14, 9)
Underhill Ave & Pacific St	(10, 10)
W 38 St & 8 Ave	(8, 6)
Laight St & Hudson St	(1, 0)
W 42 St & Dyer Ave	(1, 5)
W 25 St & 6 Ave	(6, 6)
W 42 St & 8 Ave	(6, 8)
Forsyth St & Broome St	(6, 7)
Mercer St & Spring St	(3, 6)
E 2 St & Avenue A	(12, 11)
E 2 St & Avenue C	(78, 61)
4 Ave & 9 St	(1, 2)
Clark St & Henry St	(1, 3)
Lexington Ave & E 63 St	(2, 4)
10 St & 7 Ave	(5, 0)
W 22 St & 8 Ave	(4, 8)
W 26 St & 10 Ave	(3, 5)
Great Jones St	(14, 15)
E 48 St & 5 Ave	(6, 10)
South End Ave & Liberty St	(5, 8)
E 47 St & 2 Ave	(4, 7)
2 Ave & E 72 St	(8, 7)
W 64 St & Thelonious Monk Circle	(71, 61)
1 Ave & E 18 St	(146, 143)
West St & Chambers St	(10, 20)
Eastern Pkwy & Washington Ave	(3, 1)
John St & William St	(6, 5)
W 15 St & 10 Ave	(79, 83)
E 88 St & Park Ave	(1, 1)
Lafayette St & E 8 St	(7, 8)
E 59 St & Madison Ave	(99, 96)
W 20 St & 8 Ave	(2, 4)
E 89 St & York Ave	(4, 5)
Fulton St & Broadway	(13, 9)
W 22 St & 10 Ave	(7, 5)
E 11 St & 1 Ave	(129, 126)
Avenue D & E 3 St	(4, 6)
Howard St & Centre St	(110, 113)
Forsyth St & Canal St	(5, 1)
Broadway & Battery Pl	(7, 11)
W 21 St & 6 Ave	(11, 10)
W 31 St & 7 Ave	(14, 8)
West Thames St	(6, 9)
Hudson St & Reade St	(2, 8)
Pearl St & Hanover Square	(1, 4)
E 77 St & 3 Ave	(10, 16)
1 Ave & E 78 St	(96, 101)
W 18 St & 6 Ave	(9, 13)
E 23 St & 1 Ave	(167, 165)
E 32 St & Park Ave	(9, 10)
LaGuardia Pl & W 3 St	(7, 6)
Bergen St & Smith St	(5, 3)
Fulton St & Adams St	(86, 72)
Grand Army Plaza & Central Park S	(6, 8)
W 13 St & 5 Ave	(8, 8)
Riverside Dr & W 82 St	(29, 20)
W 78 St & Broadway	(2, 3)
1 Ave & E 62 St	(6, 7)
Central Park S & 6 Ave	(0, 4)
E 102 St & 1 Ave	(1, 1)
12 Ave & W 40 St	(9, 7)
Madison Ave & E 120 St	(1, 0)
Maiden Ln & Pearl St	(3, 7)
E 97 St & Madison Ave	(1, 2)
Douglass St & 3 Ave	(2, 1)
8 Ave & W 31 St	(9, 16)
Franklin St & Dupont St	(9, 5)
Vernon Blvd & 50 Ave	(67, 80)
