Washington Park	(1, 3) 
Vernon Blvd & 31 Ave	(2, 1) 
Grand Army Plaza & Plaza St West	(1, 2) 
Amsterdam Ave & W 79 St	(6, 5) 
Carroll St & 6 Ave	(0, 1) 
Van Brunt St & Wolcott St	(0, 2) 
Cumberland St & Lafayette Ave	(3, 3) 
Reade St & Broadway	(6, 7) 
Fulton St & Adams St	(121, 114) 
Classon Ave & St Marks Ave	(40, 31) 
Frederick Douglass Blvd & W 117 St	(2, 0) 
31 St & Thomson Ave	(2, 1) 
W 52 St & 6 Ave	(12, 14) 
St Nicholas Ave & Manhattan Ave	(0, 2) 
India St & Manhattan Ave	(9, 12) 
St Marks Pl & 1 Ave	(12, 8) 
Bedford Ave & S 9 St	(3, 0) 
Riverside Dr & W 82 St	(73, 70) 
E 72 St & York Ave	(6, 8) 
Washington Ave & Park Ave	(3, 2) 
Bayard St & Baxter St	(1, 13) 
Riverside Dr & W 78 St	(2, 2) 
Banker St & Meserole Ave	(2, 1) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 1) 
Fulton St & Rockwell Pl	(1, 1) 
Henry St & Degraw St	(2, 4) 
21 St & 43 Ave	(1, 0) 
Stanton St & Chrystie St	(7, 5) 
Park Pl & Church St	(10, 10) 
Henry St & Grand St	(7, 7) 
E 72 St & Park Ave	(1, 4) 
Forsyth St & Canal St	(7, 3) 
2 Ave & 9 St	(1, 0) 
W 78 St & Broadway	(5, 3) 
E 27 St & 1 Ave	(9, 5) 
St James Pl & Pearl St	(4, 1) 
Carlton Ave & Dean St	(2, 1) 
DeKalb Ave & S Portland Ave	(2, 1) 
Pearl St & Anchorage Pl	(2, 5) 
Leonard St & Boerum St	(2, 1) 
31 Ave & 14 St	(0, 1) 
N 6 St & Bedford Ave	(166, 165) 
Broadway & E 22 St	(14, 15) 
Park Pl & Vanderbilt Ave	(3, 4) 
Stanton St & Norfolk St	(4, 8) 
W 82 St & Central Park West	(3, 2) 
Union St & Nevins St	(3, 0) 
5 Ave & 3 St	(2, 0) 
Columbia Heights & Cranberry St	(0, 2) 
Broad St & Bridge St	(39, 58) 
9 St & 44 Rd	(3, 2) 
Amsterdam Ave & W 73 St	(7, 5) 
Broadway & Moylan Pl	(2, 2) 
E 13 St & Avenue A	(16, 14) 
Howard St & Centre St	(177, 174) 
Spruce St & Nassau St	(5, 4) 
Cadman Plaza E & Johnson St	(4, 5) 
Broadway & W 38 St	(6, 11) 
Lexington Ave & E 36 St	(3, 4) 
E 32 St & Park Ave	(15, 12) 
Water - Whitehall Plaza	(6, 5) 
Commerce St & Van Brunt St	(1, 0) 
Lexington Ave & Classon Ave	(0, 1) 
E 81 St & Park Ave	(0, 2) 
W 95 St & Broadway	(2, 0) 
Clinton St & Union St	(2, 2) 
Norfolk St & Broome St	(5, 3) 
Devoe St & Morgan Ave	(0, 1) 
W 52 St & 5 Ave	(11, 7) 
Clinton St & 4 Place	(1, 1) 
Bank St & Hudson St	(139, 138) 
W 106 St & Amsterdam Ave	(1, 0) 
Clark St & Henry St	(2, 6) 
President St & Henry St	(0, 1) 
W 100 St & Broadway	(1, 2) 
Riverside Dr & W 104 St	(0, 2) 
W 37 St & 5 Ave	(3, 7) 
6 Ave & 9 St	(0, 3) 
Lenox Ave & W 126 St	(1, 0) 
E 47 St & 2 Ave	(7, 9) 
Washington Pl & Broadway	(11, 10) 
Central Park West & W 72 St	(8, 3) 
E 114 St & 1 Ave	(1, 2) 
South End Ave & Liberty St	(22, 21) 
E 58 St & 1 Ave (NE Corner)	(1, 2) 
Greenwich Ave & 8 Ave	(8, 11) 
Broadway & W 49 St	(15, 24) 
E 53 St & Madison Ave	(1, 3) 
Montrose Ave & Bushwick Ave	(2, 3) 
Bond St & Fulton St	(4, 2) 
Pike St & Monroe St	(4, 3) 
Mercer St & Spring St	(15, 16) 
Cadman Plaza West & Montague St	(1, 3) 
W 20 St & 11 Ave	(16, 16) 
Berry St & N 8 St	(0, 4) 
Perry St & Bleecker St	(9, 6) 
5 Ave & E 73 St	(7, 8) 
Central Park North & Adam Clayton Powell Blvd	(1, 3) 
E 45 St & 3 Ave	(7, 8) 
E 52 St & 2 Ave	(6, 6) 
MacDougal St & Washington Sq	(3, 5) 
S 4 St & Wythe Ave	(19, 21) 
E 82 St & East End Ave	(7, 2) 
E 24 St & Park Ave S	(16, 17) 
Old Slip & Front St	(12, 8) 
Center Blvd & 48 Ave	(10, 8) 
Clermont Ave & Park Ave	(1, 2) 
Clermont Ave & Lafayette Ave	(2, 3) 
E 89 St & 3 Ave	(6, 5) 
Union St & 4 Ave	(0, 3) 
Willoughby Ave & Wyckoff Ave	(0, 1) 
E 47 St & Park Ave	(15, 15) 
E 7 St & Avenue A	(19, 17) 
McGuinness Blvd & Eagle St	(15, 22) 
Columbia St & Rivington St	(4, 4) 
Allen St & Rivington St	(11, 7) 
Central Park West & W 100 St	(3, 0) 
47 Ave & Skillman Ave	(2, 1) 
Graham Ave & Grand St	(0, 1) 
E 118 St & 3 Ave	(1, 0) 
Hope St & Union Ave	(1, 2) 
Willoughby St & Fleet St	(10, 15) 
E 66 St & Madison Ave	(1, 0) 
Kane St & Clinton St	(3, 4) 
Catherine St & Monroe St	(5, 3) 
W 45 St & 6 Ave	(1, 4) 
2 Ave & E 31 St	(14, 14) 
Jay St & Tech Pl	(3, 3) 
Pulaski St & Marcus Garvey Blvd	(0, 2) 
10 St & 5 Ave	(1, 1) 
Garfield Pl & 8 Ave	(0, 1) 
Rivington St & Chrystie St	(13, 10) 
Lewis Ave & Kosciuszko St	(2, 7) 
Flushing Ave & Vanderbilt Ave	(2, 5) 
Riverside Dr & W 91 St	(2, 2) 
11 Ave & W 27 St	(11, 10) 
E 6 St & Avenue D	(3, 7) 
Berkeley Pl & 7 Ave	(1, 3) 
E 84 St & Park Ave	(2, 4) 
3 Ave & E 72 St	(2, 7) 
Prospect Pl & Underhill Ave	(4, 0) 
E 84 St & 1 Ave	(6, 8) 
Fulton St & Clermont Ave	(1, 1) 
E 51 St & Lexington Ave	(123, 129) 
W 15 St & 10 Ave	(162, 161) 
Gansevoort St & Hudson St	(6, 12) 
Wythe Ave & Metropolitan Ave	(21, 13) 
E 2 St & Avenue A	(12, 18) 
Bedford Ave & Nassau Ave	(5, 4) 
West Thames St	(11, 11) 
Bond St & Bergen St	(3, 2) 
E 84 St & 3 Ave	(7, 6) 
E 55 St & 3 Ave	(6, 4) 
Jackson Ave & 46 Rd	(2, 1) 
48 Ave & 5 St	(4, 1) 
Carroll St & 5 Ave	(2, 1) 
Lispenard St & Broadway	(193, 200) 
Nassau Ave & Russell St	(9, 6) 
Madison Ave & E 82 St	(5, 3) 
Halsey St & Tompkins Ave	(0, 1) 
W 47 St & 10 Ave	(7, 5) 
Front St & Washington St	(6, 8) 
Devoe St & Lorimer St	(4, 2) 
Sterling Pl & Bedford Ave	(1, 1) 
Washington Pl & 6 Ave	(8, 11) 
