St Marks Pl & 1 Ave	(15, 10)
E 81 St & York Ave	(61, 67)
E 11 St & 1 Ave	(191, 189)
E 25 St & 2 Ave	(7, 11)
Riverside Blvd & W 67 St	(5, 3)
Riverside Dr & W 82 St	(61, 61)
E 4 St & 2 Ave	(13, 10)
Suffolk St & Stanton St	(130, 130)
Lispenard St & Broadway	(163, 158)
W 31 St & 7 Ave	(15, 7)
W 92 St & Broadway	(4, 4)
Bedford Ave & Nassau Ave	(7, 7)
N 6 St & Bedford Ave	(151, 129)
W 43 St & 10 Ave	(135, 145)
W 45 St & 8 Ave	(8, 10)
E 23 St & 1 Ave	(177, 158)
W 4 St & 7 Ave S	(6, 12)
DeKalb Ave & Vanderbilt Ave	(5, 4)
S 4 St & Wythe Ave	(10, 17)
W 76 St & Columbus Ave	(1, 1)
E 27 St & 1 Ave	(7, 9)
Grand St & Elizabeth St	(15, 9)
Mercer St & Spring St	(17, 7)
Banker St & Meserole Ave	(4, 2)
E 89 St & 3 Ave	(5, 8)
Cedar St & Myrtle Ave	(1, 0)
E 7 St & Avenue A	(15, 13)
W 15 St & 10 Ave	(116, 115)
W 15 St & 6 Ave	(11, 7)
Barrow St & Hudson St	(8, 12)
Bank St & Hudson St	(113, 119)
Christopher St & Greenwich St	(19, 12)
W 84 St & Columbus Ave	(4, 1)
5 Ave & E 63 St	(2, 3)
Greenwich Ave & Charles St	(9, 3)
Vesey Pl & River Terrace	(165, 166)
W 41 St & 8 Ave	(16, 15)
Washington Pl & Broadway	(7, 8)
Cliff St & Fulton St	(9, 4)
Broad St & Bridge St	(73, 49)
Lafayette St & E 8 St	(13, 13)
Howard St & Centre St	(146, 150)
W 21 St & 6 Ave	(17, 19)
8 Ave & W 33 St	(10, 17)
Avenue D & E 3 St	(3, 3)
Barclay St & Church St	(14, 11)
1 Ave & E 18 St	(166, 162)
E 74 St & 1 Ave	(5, 3)
1 Ave & E 78 St	(146, 161)
Lexington Ave & E 36 St	(1, 3)
S 5 Pl & S 5 St	(3, 10)
Allen St & Stanton St	(13, 18)
Allen St & Rivington St	(10, 7)
Stanton St & Norfolk St	(6, 10)
W 15 St & 7 Ave	(13, 6)
E 25 St & 1 Ave	(3, 3)
1 Ave & E 68 St	(16, 7)
Peck Slip & Front St	(8, 4)
E 2 St & 2 Ave	(12, 10)
W 67 St & Broadway	(6, 7)
Murray St & West St	(106, 109)
Metropolitan Ave & Meeker Ave	(2, 3)
Spruce St & Nassau St	(4, 3)
Eastern Pkwy & Washington Ave	(2, 3)
Classon Ave & St Marks Ave	(30, 31)
Hudson St & Reade St	(9, 10)
Milton St & Franklin St	(4, 11)
Broadway & Battery Pl	(11, 6)
E 48 St & 3 Ave	(1, 3)
Broadway & E 14 St	(25, 23)
E 20 St & FDR Drive	(15, 18)
Bedford Ave & Bergen St	(2, 0)
Stanton St & Chrystie St	(11, 10)
Centre St & Chambers St	(13, 21)
E 6 St & Avenue B	(7, 7)
3 Ave & E 71 St	(1, 1)
Mercer St & Bleecker St	(12, 7)
W 34 St & 11 Ave	(8, 7)
Greenwich St & W Houston St	(13, 13)
W 50 St & 9 Ave	(3, 7)
Plaza St West & Flatbush Ave	(3, 1)
3 St & 7 Ave	(48, 53)
7 Ave & Park Pl	(9, 8)
Underhill Ave & Pacific St	(20, 26)
W 13 St & 7 Ave	(10, 7)
Clinton Ave & Myrtle Ave	(85, 76)
Adelphi St & Myrtle Ave	(3, 8)
E 17 St & Broadway	(14, 15)
Clermont Ave & Park Ave	(0, 1)
E 20 St & 2 Ave	(13, 9)
South End Ave & Liberty St	(19, 31)
11 Ave & W 27 St	(9, 9)
Vernon Blvd & 47 Rd	(1, 0)
E 51 St & 1 Ave	(5, 7)
Emerson Pl & Myrtle Ave	(3, 1)
Irving Ave & Jefferson St	(1, 1)
E 47 St & Park Ave	(19, 14)
E 13 St & Avenue A	(11, 8)
E 48 St & 5 Ave	(8, 13)
E 2 St & Avenue C	(101, 84)
E 72 St & York Ave	(6, 8)
Johnson St & Gold St	(4, 1)
Fulton St & Adams St	(102, 91)
W 64 St & Thelonious Monk Circle	(119, 122)
Amsterdam Ave & W 66 St	(1, 4)
John St & William St	(7, 4)
Cleveland Pl & Spring St	(10, 15)
Atlantic Ave & Fort Greene Pl	(2, 3)
E 93 St & 2 Ave	(2, 6)
E 85 St & York Ave	(3, 1)
Meserole Ave & Manhattan Ave	(8, 7)
1 Ave & E 16 St	(26, 13)
Great Jones St	(13, 21)
West St & Chambers St	(10, 9)
Broadway & W 60 St	(13, 15)
Fulton St & Broadway	(10, 11)
Central Park S & 6 Ave	(5, 6)
6 Ave & Canal St	(24, 13)
Myrtle Ave & Lewis Ave	(3, 0)
W 78 St & Broadway	(11, 11)
Greenwich Ave & 8 Ave	(5, 7)
W 42 St & 8 Ave	(5, 10)
E 59 St & Madison Ave	(91, 89)
Lexington Ave & E 26 St	(11, 10)
E 6 St & Avenue D	(5, 3)
E 89 St & York Ave	(4, 3)
S 3 St & Bedford Ave	(5, 6)
Wyckoff St & 3 Ave	(2, 1)
8 Ave & W 31 St	(11, 9)
E 75 St & 3 Ave	(2, 4)
1 Ave & E 30 St	(6, 7)
Eastern Pkwy & Franklin Ave	(3, 3)
Stagg St & Union Ave	(1, 2)
Water - Whitehall Plaza	(12, 6)
Park Pl & Church St	(10, 6)
E 51 St & Lexington Ave	(95, 95)
Monroe St & Bedford Ave	(2, 0)
E 12 St & 3 Ave	(12, 11)
Douglass St & 3 Ave	(1, 4)
W 84 St & Broadway	(5, 2)
W 11 St & 6 Ave	(11, 7)
North Moore St & Greenwich St	(21, 15)
India St & Manhattan Ave	(4, 6)
Vernon Blvd & 50 Ave	(66, 67)
E 84 St & 1 Ave	(6, 6)
E 33 St & 1 Ave	(4, 11)
2 Ave & E 72 St	(14, 11)
Little West St & 1 Pl	(21, 20)
LaGuardia Pl & W 3 St	(9, 7)
E 102 St & 1 Ave	(0, 2)
N 11 St & Kent Ave	(4, 5)
Broadway & E 22 St	(19, 23)
Avenue C & E 18 St	(7, 3)
DeKalb Ave & Hudson Ave	(3, 5)
W 24 St & 7 Ave	(13, 8)
Park Ave & Marcus Garvey Blvd	(2, 1)
Driggs Ave & Lorimer St	(1, 0)
E 24 St & Park Ave S	(8, 26)
E 81 St & 3 Ave	(2, 4)
E 88 St & 1 Ave	(6, 9)
Wythe Ave & Metropolitan Ave	(16, 17)
Amsterdam Ave & W 79 St	(6, 2)
W 22 St & 8 Ave	(8, 5)
Sullivan St & Washington Sq	(7, 7)
12 Ave & W 40 St	(20, 17)
W 49 St & 8 Ave	(5, 4)
W 42 St & Dyer Ave	(7, 4)
W 20 St & 11 Ave	(10, 26)
E 39 St & 2 Ave	(12, 10)
W 20 St & 7 Ave	(10, 7)
FDR Drive & E 35 St	(10, 7)
48 Ave & 5 St	(2, 0)
St James Pl & Oliver St	(2, 7)
W 18 St & 9 Ave	(6, 1)
E 20 St & Park Ave	(9, 17)
11 Ave & W 41 St	(9, 4)
Forsyth St & Broome St	(11, 13)
Pier 40 - Hudson River Park	(18, 14)
Riverside Dr & W 72 St	(3, 6)
Huron St & Franklin St	(4, 12)
1 Ave & E 94 St	(1, 4)
E 58 St & 3 Ave	(4, 7)
Broadway & Berry St	(7, 4)
