Vernon Blvd & 31 Ave	(0, 1) 
Vernon Blvd & 10 St	(0, 1) 
Grand Army Plaza & Plaza St West	(4, 1) 
Wyckoff Av & Jefferson St	(3, 0) 
Amsterdam Ave & W 79 St	(0, 3) 
Van Brunt St & Wolcott St	(0, 1) 
Carroll St & 6 Ave	(0, 1) 
Cumberland St & Lafayette Ave	(5, 3) 
Reade St & Broadway	(3, 4) 
Classon Ave & St Marks Ave	(37, 42) 
Fulton St & Adams St	(55, 58) 
31 St & Thomson Ave	(1, 0) 
W 52 St & 6 Ave	(4, 7) 
Throop Ave & Myrtle Ave	(1, 0) 
St Nicholas Ave & Manhattan Ave	(1, 0) 
Irving Ave & Jefferson St	(3, 2) 
Stagg St & Morgan Ave	(1, 0) 
India St & Manhattan Ave	(4, 7) 
St Marks Pl & 1 Ave	(10, 8) 
Bedford Ave & S 9 St	(1, 0) 
Riverside Dr & W 82 St	(77, 85) 
E 72 St & York Ave	(4, 2) 
Washington Ave & Park Ave	(0, 1) 
Bayard St & Baxter St	(5, 12) 
Riverside Dr & W 78 St	(5, 5) 
Banker St & Meserole Ave	(1, 0) 
Pleasant Ave & E 120 St	(0, 1) 
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 1) 
Fulton St & Rockwell Pl	(5, 3) 
21 St & 43 Ave	(1, 1) 
Henry St & Degraw St	(1, 0) 
Stanton St & Chrystie St	(6, 12) 
49 Ave & 21 St	(2, 1) 
Park Pl & Church St	(5, 6) 
7 St & 3 Ave	(0, 1) 
Crescent St & Ditmars Blvd	(1, 1) 
Henry St & Grand St	(5, 1) 
Forsyth St & Canal St	(13, 7) 
E 72 St & Park Ave	(3, 1) 
W 78 St & Broadway	(8, 4) 
E 27 St & 1 Ave	(4, 4) 
St James Pl & Pearl St	(2, 5) 
DeKalb Ave & S Portland Ave	(3, 1) 
Pearl St & Anchorage Pl	(2, 2) 
Leonard St & Boerum St	(3, 3) 
N 6 St & Bedford Ave	(148, 146) 
Broadway & E 22 St	(14, 20) 
Park Pl & Vanderbilt Ave	(2, 4) 
Stanton St & Norfolk St	(4, 7) 
W 82 St & Central Park West	(3, 1) 
Union St & Nevins St	(2, 2) 
5 Ave & 3 St	(2, 3) 
Broad St & Bridge St	(39, 39) 
West End Ave & W 107 St	(3, 4) 
Sterling St & Bedford Ave	(0, 1) 
9 St & 44 Rd	(7, 0) 
Amsterdam Ave & W 73 St	(11, 6) 
Broadway & Moylan Pl	(3, 4) 
E 13 St & Avenue A	(8, 7) 
Howard St & Centre St	(136, 139) 
Spruce St & Nassau St	(7, 1) 
Broadway & Whipple St	(0, 1) 
Cadman Plaza E & Johnson St	(0, 6) 
Lexington Ave & Classon Ave	(4, 2) 
Lexington Ave & E 36 St	(3, 2) 
E 32 St & Park Ave	(1, 2) 
Water - Whitehall Plaza	(3, 2) 
Broadway & W 38 St	(2, 2) 
E 81 St & Park Ave	(0, 1) 
5 St & 6 Ave	(1, 0) 
W 95 St & Broadway	(2, 1) 
Norfolk St & Broome St	(3, 3) 
W 52 St & 5 Ave	(3, 4) 
40 Ave & Crescent St	(1, 2) 
Bank St & Hudson St	(133, 146) 
W 106 St & Amsterdam Ave	(1, 1) 
Clark St & Henry St	(1, 4) 
W 100 St & Broadway	(4, 2) 
Riverside Dr & W 104 St	(4, 3) 
W 37 St & 5 Ave	(3, 5) 
6 Ave & 9 St	(2, 4) 
Lenox Ave & W 126 St	(1, 0) 
E 47 St & 2 Ave	(2, 1) 
Washington Pl & Broadway	(4, 3) 
Central Park West & W 72 St	(1, 7) 
E 114 St & 1 Ave	(1, 2) 
South End Ave & Liberty St	(19, 14) 
E 12 St & 4 Av	(9, 7) 
E 58 St & 1 Ave (NE Corner)	(4, 4) 
Greenwich Ave & 8 Ave	(11, 12) 
Broadway & W 49 St	(3, 4) 
E 53 St & Madison Ave	(5, 5) 
Montrose Ave & Bushwick Ave	(1, 1) 
Bond St & Fulton St	(0, 4) 
9 Ave & W 18 St	(7, 7) 
Pike St & Monroe St	(4, 2) 
Mercer St & Spring St	(8, 10) 
Cadman Plaza West & Montague St	(4, 0) 
W 20 St & 11 Ave	(17, 13) 
Berry St & N 8 St	(0, 1) 
Perry St & Bleecker St	(8, 5) 
5 Ave & E 73 St	(1, 5) 
Central Park North & Adam Clayton Powell Blvd	(3, 0) 
Eastern Pkwy & Franklin Ave	(2, 1) 
E 45 St & 3 Ave	(2, 0) 
W 17 St & 8 Ave	(4, 6) 
E 52 St & 2 Ave	(11, 6) 
MacDougal St & Washington Sq	(7, 8) 
Albany Ave & Fulton St	(0, 1) 
S 4 St & Wythe Ave	(6, 13) 
E 82 St & East End Ave	(1, 3) 
E 24 St & Park Ave S	(6, 12) 
Old Slip & Front St	(0, 4) 
Center Blvd & 48 Ave	(3, 4) 
36 Ave & 31 St	(1, 0) 
Clermont Ave & Park Ave	(1, 0) 
Clermont Ave & Lafayette Ave	(1, 1) 
E 89 St & 3 Ave	(2, 2) 
Union St & 4 Ave	(0, 3) 
Knickerbocker Ave & George St	(1, 1) 
Willoughby Ave & Wyckoff Ave	(2, 0) 
E 47 St & Park Ave	(10, 4) 
Jackson St & Leonard St	(1, 0) 
E 7 St & Avenue A	(18, 16) 
McGuinness Blvd & Eagle St	(9, 12) 
Columbia St & Rivington St	(3, 3) 
Allen St & Rivington St	(12, 7) 
Graham Ave & Grand St	(2, 3) 
Central Park West & W 100 St	(4, 0) 
St. Nicholas Ave & W 126 St	(0, 1) 
Hope St & Union Ave	(5, 1) 
Willoughby St & Fleet St	(12, 7) 
E 66 St & Madison Ave	(0, 2) 
Catherine St & Monroe St	(2, 2) 
W 45 St & 6 Ave	(4, 5) 
2 Ave & E 31 St	(8, 10) 
Boerum St & Broadway	(6, 1) 
Jay St & Tech Pl	(1, 2) 
Pulaski St & Marcus Garvey Blvd	(0, 1) 
10 St & 5 Ave	(1, 0) 
Garfield Pl & 8 Ave	(2, 0) 
Rivington St & Chrystie St	(3, 6) 
Flushing Ave & Vanderbilt Ave	(2, 5) 
W 110 St & Amsterdam Ave	(0, 1) 
Riverside Dr & W 91 St	(2, 2) 
11 Ave & W 27 St	(18, 13) 
Berkeley Pl & 7 Ave	(1, 1) 
E 6 St & Avenue D	(5, 5) 
E 84 St & Park Ave	(4, 1) 
3 Ave & E 72 St	(1, 2) 
Prospect Pl & Underhill Ave	(2, 0) 
E 84 St & 1 Ave	(5, 3) 
E 51 St & Lexington Ave	(42, 41) 
W 15 St & 10 Ave	(156, 160) 
Union St & Bedford Ave	(1, 3) 
Gansevoort St & Hudson St	(8, 8) 
Wythe Ave & Metropolitan Ave	(11, 11) 
E 2 St & Avenue A	(10, 8) 
Bedford Ave & Nassau Ave	(6, 4) 
West Thames St	(24, 21) 
Bond St & Bergen St	(1, 3) 
E 84 St & 3 Ave	(8, 8) 
Jackson Ave & 46 Rd	(3, 3) 
48 Ave & 5 St	(1, 0) 
Carroll St & 5 Ave	(3, 0) 
Lispenard St & Broadway	(105, 119) 
Nassau Ave & Russell St	(2, 5) 
Madison Ave & E 82 St	(3, 6) 
Lenox Ave & W 115 St	(1, 1) 
W 47 St & 10 Ave	(10, 9) 
Front St & Washington St	(1, 2) 
Halsey St & Tompkins Ave	(1, 1) 
Sterling Pl & Bedford Ave	(3, 2) 
Devoe St & Lorimer St	(0, 2) 
Frederick Douglass Blvd & W 112 St	(1, 0) 
Washington Pl & 6 Ave	(6, 5) 
Broadway & W 37 St	(9, 6) 
W 26 St & 10 Ave	(5, 6) 
2 Ave & E 99 St	(2, 0) 
E 81 St & York Ave	(44, 49) 
12 St & 4 Ave	(0, 2) 
Fulton St & Broadway	(7, 9) 
Hanson Pl & Ashland Pl	(2, 3) 
Cadman Plaza E & Red Cross Pl	(1, 5) 
Meserole Ave & Manhattan Ave	(5, 3) 
Henry St & Middagh St	(2, 0) 
Putnam Ave & Throop Ave	(1, 0) 
Queens Plaza North & Crescent St	(2, 1) 
Prospect Park West & 8 St	(2, 3) 
E 68 St & 3 Ave	(2, 1) 
Greenpoint Ave & Manhattan Ave	(4, 6) 
Central Ave & Flushing Ave	(1, 2) 
E 89 St & York Ave	(4, 7) 
Vernon Blvd & 47 Rd	(1, 3) 
E 102 St & 1 Ave	(0, 4) 
11 Ave & W 59 St	(3, 9) 
Front St & Maiden Ln	(4, 5) 
E 16 St & Irving Pl	(3, 1) 
Lenox Ave & W 130 St	(0, 1) 
W 59 St & 10 Ave	(5, 4) 
W 45 St & 8 Ave	(8, 4) 
E 19 St & 3 Ave	(0, 3) 
Bank St & Washington St	(12, 9) 
Central Park S & 6 Ave	(11, 6) 
3 St & 7 Ave	(55, 47) 
Fulton St & William St	(4, 6) 
Laight St & Hudson St	(1, 1) 
E 43 St & 2 Ave	(1, 2) 
Monroe St & Classon Ave	(0, 2) 
1 Ave & E 16 St	(13, 13) 
Douglass St & 3 Ave	(2, 3) 
Grand St & Elizabeth St	(13, 11) 
Milton St & Franklin St	(5, 3) 
Barrow St & Hudson St	(15, 9) 
Nassau St & Navy St	(0, 2) 
Columbia St & Kane St	(0, 2) 
W 50 St & 9 Ave	(5, 5) 
Peck Slip & Front St	(13, 8) 
7 Ave & Central Park South	(0, 3) 
5 Ave & E 29 St	(5, 5) 
Leonard St & Church St	(9, 2) 
West St & Chambers St	(20, 8) 
45 Rd & 11 St	(2, 1) 
E 2 St & Avenue B	(6, 7) 
Roebling St & N 4 St	(1, 3) 
W 31 St & 7 Ave	(22, 8) 
Lexington Ave & E 127 St	(0, 1) 
8 Ave & W 33 St	(13, 12) 
Cleveland Pl & Spring St	(18, 19) 
Duane St & Greenwich St	(6, 4) 
E 31 St & 3 Ave	(6, 3) 
W 43 St & 6 Ave	(4, 2) 
Division St & Bowery	(9, 8) 
Clinton Ave & Myrtle Ave	(99, 91) 
W 63 St & Broadway	(3, 4) 
