McGuinness Blvd & Eagle St	(17, 17)
Vernon Blvd & 50 Ave	(68, 66)
Vesey Pl & River Terrace	(232, 242)
Allen St & Stanton St	(20, 19)
1 Ave & E 18 St	(204, 199)
E 2 St & Avenue A	(14, 16)
E 47 St & 2 Ave	(6, 4)
E 20 St & FDR Drive	(14, 19)
E 23 St & 1 Ave	(192, 195)
Peck Slip & Front St	(7, 4)
E 2 St & Avenue C	(127, 103)
W 15 St & 10 Ave	(149, 166)
South End Ave & Liberty St	(19, 20)
Riverside Dr & W 72 St	(6, 5)
E 4 St & 2 Ave	(7, 11)
Suffolk St & Stanton St	(115, 118)
Bank St & Hudson St	(151, 148)
W 41 St & 8 Ave	(18, 10)
E 11 St & 1 Ave	(189, 191)
Howard St & Centre St	(169, 170)
St Marks Pl & 2 Ave	(6, 13)
Franklin St & W Broadway	(8, 7)
Greenwich Ave & 8 Ave	(11, 12)
Fulton St & Adams St	(119, 113)
Columbia St & Degraw St	(1, 3)
DeKalb Ave & Hudson Ave	(7, 5)
Clinton Ave & Myrtle Ave	(97, 99)
1 Ave & E 78 St	(191, 173)
E 81 St & 2 Ave	(3, 6)
W 45 St & 8 Ave	(4, 6)
W 43 St & 10 Ave	(163, 145)
W 4 St & 7 Ave S	(10, 7)
Kent Ave & S 11 St	(7, 7)
N 6 St & Bedford Ave	(154, 160)
E 2 St & 2 Ave	(15, 14)
Bushwick Ave & McKibbin St	(0, 2)
Mott St & Prince St	(15, 12)
W 26 St & 8 Ave	(8, 12)
Greenpoint Ave & Manhattan Ave	(8, 9)
Lispenard St & Broadway	(188, 189)
Emerson Pl & Myrtle Ave	(2, 5)
St Marks Pl & 1 Ave	(11, 11)
Cooper Square & Astor Pl	(11, 14)
Butler St & Court St	(1, 5)
Greenwich Ave & Charles St	(8, 6)
Richardson St & N Henry St	(2, 1)
8 Ave & W 33 St	(8, 11)
W 11 St & 6 Ave	(9, 3)
E 84 St & 1 Ave	(6, 4)
E 81 St & York Ave	(73, 58)
Bus Slip & State St	(8, 6)
W 64 St & Thelonious Monk Circle	(91, 81)
W 35 St & Dyer Ave	(8, 1)
E 12 St & 3 Ave	(11, 11)
E 20 St & 2 Ave	(14, 7)
Stanton St & Chrystie St	(10, 16)
E 65 St & 2 Ave	(3, 3)
6 Ave & 9 St	(2, 3)
1 Ave & E 62 St	(12, 11)
W 50 St & 9 Ave	(6, 4)
Underhill Ave & Pacific St	(37, 48)
Broad St & Bridge St	(49, 45)
Allen St & Rivington St	(16, 10)
9 St & 44 Rd	(2, 0)
University Pl & E 8 St	(9, 2)
E 72 St & York Ave	(6, 15)
W 22 St & 10 Ave	(11, 6)
Murray St & West St	(93, 91)
E 33 St & 1 Ave	(17, 16)
Huron St & Franklin St	(4, 9)
Murray St & Greenwich St	(14, 15)
Center Blvd & 48 Ave	(4, 3)
E 7 St & Avenue A	(16, 9)
E 17 St & Broadway	(25, 20)
Broadway & Berry St	(14, 6)
Avenue C & E 18 St	(1, 4)
E 78 St & 2 Ave	(5, 3)
Broadway & W 53 St	(6, 7)
Hope St & Union Ave	(0, 2)
W 22 St & 8 Ave	(9, 13)
E 25 St & 1 Ave	(6, 9)
Lexington Ave & E 26 St	(13, 11)
Avenue D & E 8 St	(4, 3)
9 Ave & W 18 St	(3, 2)
Bank St & Washington St	(10, 6)
W 27 St & 10 Ave	(7, 11)
Metropolitan Ave & Meeker Ave	(3, 1)
Riverside Dr & W 82 St	(73, 74)
3 Ave & E 71 St	(1, 3)
Meserole Ave & Manhattan Ave	(4, 4)
6 Ave & Canal St	(14, 9)
Forsyth St & Canal St	(9, 13)
Riverside Dr & W 104 St	(1, 4)
W 37 St & 10 Ave	(6, 4)
E 19 St & 3 Ave	(4, 5)
44 Dr & 21 St	(1, 1)
Baltic St & 5 Ave	(2, 4)
Cleveland Pl & Spring St	(21, 18)
West End Ave & W 94 St	(3, 4)
10 St & 7 Ave	(1, 3)
3 St & 7 Ave	(61, 70)
Classon Ave & St Marks Ave	(61, 46)
Bedford Ave & Bergen St	(1, 2)
Wyckoff Av & Jefferson St	(2, 2)
Gansevoort St & Hudson St	(12, 14)
Adelphi St & Myrtle Ave	(0, 8)
Franklin Ave & Myrtle Ave	(0, 1)
Rivington St & Ridge St	(6, 3)
E 11 St & Avenue B	(12, 6)
Carmine St & 6 Ave	(14, 12)
E 27 St & 1 Ave	(8, 10)
E 25 St & 2 Ave	(10, 4)
12 Ave & W 40 St	(20, 30)
9 Ave & W 45 St	(4, 3)
E 93 St & 2 Ave	(2, 3)
Mercer St & Bleecker St	(4, 4)
West End Ave & W 107 St	(1, 0)
MacDougal St & Prince St	(9, 16)
Wythe Ave & Metropolitan Ave	(12, 14)
E 58 St & 3 Ave	(8, 12)
E 51 St & Lexington Ave	(90, 94)
E 48 St & 5 Ave	(9, 9)
E 32 St & Park Ave	(8, 17)
Lafayette St & Jersey St	(23, 18)
Prospect Pl & Underhill Ave	(3, 0)
Grand St & Elizabeth St	(18, 16)
W 45 St & 6 Ave	(9, 14)
Grand Army Plaza & Central Park S	(5, 9)
Eastern Pkwy & Franklin Ave	(7, 2)
E 39 St & 3 Ave	(3, 8)
Madison Ave & E 82 St	(3, 4)
E 91 St & Park Ave	(1, 1)
11 Ave & W 59 St	(9, 6)
Fulton St & Broadway	(10, 10)
Atlantic Ave & Fort Greene Pl	(7, 6)
Broadway & Battery Pl	(13, 12)
Little West St & 1 Pl	(33, 26)
E 75 St & 3 Ave	(1, 3)
1 Ave & E 30 St	(8, 11)
W 78 St & Broadway	(5, 6)
Laight St & Hudson St	(4, 3)
Broadway & W 49 St	(7, 4)
