W 15 St & 10 Ave	(153, 125)
E 16 St & 5 Ave	(14, 11)
Suffolk St & Stanton St	(128, 126)
E 10 St & Avenue A	(13, 11)
Clinton Ave & Myrtle Ave	(88, 89)
Bedford Ave & Bergen St	(3, 2)
Grand St & Elizabeth St	(20, 19)
Lispenard St & Broadway	(181, 187)
Classon Ave & St Marks Ave	(46, 44)
Marcy Ave & Lafayette Ave	(0, 1)
W 31 St & 7 Ave	(15, 13)
Montrose Ave & Bushwick Ave	(3, 2)
3 St & 7 Ave	(73, 55)
N 6 St & Bedford Ave	(177, 185)
Wythe Ave & Metropolitan Ave	(13, 9)
Nassau Ave & Newell St	(5, 10)
Allen St & Stanton St	(22, 18)
Greenwich Ave & Charles St	(14, 10)
E 11 St & 1 Ave	(193, 230)
E 31 St & 3 Ave	(8, 3)
W 43 St & 10 Ave	(188, 182)
W 53 St & 10 Ave	(10, 8)
Greenwich Ave & 8 Ave	(9, 10)
9 Ave & W 28 St	(6, 2)
E 17 St & Broadway	(34, 33)
Howard St & Centre St	(149, 149)
Prospect Pl & Underhill Ave	(2, 1)
E 81 St & York Ave	(87, 65)
E 84 St & 1 Ave	(9, 4)
Pacific St & Nevins St	(2, 1)
Broadway & W 49 St	(9, 6)
Columbus Ave & W 72 St	(9, 6)
1 Ave & E 78 St	(183, 188)
Broadway & W 29 St	(8, 8)
Vesey Pl & River Terrace	(299, 303)
Watts St & Greenwich St	(13, 14)
Frederick Douglass Blvd & W 117 St	(1, 1)
W 41 St & 8 Ave	(15, 10)
E 59 St & Madison Ave	(94, 95)
E 53 St & 3 Ave	(10, 11)
E 25 St & 2 Ave	(10, 11)
Vernon Blvd & 50 Ave	(83, 83)
Murray St & West St	(102, 132)
West Thames St	(8, 13)
E 12 St & 3 Ave	(8, 7)
Amsterdam Ave & W 82 St	(4, 1)
1 Ave & E 62 St	(11, 9)
University Pl & E 14 St	(23, 11)
E 20 St & FDR Drive	(26, 29)
Lorimer St & Broadway	(0, 2)
Carmine St & 6 Ave	(10, 13)
E 9 St & Avenue C	(9, 9)
Hicks St & Montague St	(4, 4)
Fulton St & Adams St	(123, 133)
E 39 St & 3 Ave	(11, 11)
W 24 St & 7 Ave	(11, 9)
Pier 40 - Hudson River Park	(26, 25)
Allen St & Rivington St	(18, 9)
E 110 St & Madison Ave	(2, 0)
W 64 St & Thelonious Monk Circle	(112, 113)
E 7 St & Avenue A	(9, 12)
9 Ave & W 45 St	(11, 11)
E 10 St & 5 Ave	(3, 6)
Broadway & W 60 St	(20, 16)
Central Park West & W 72 St	(4, 2)
1 Ave & E 18 St	(238, 210)
Henry St & Grand St	(7, 4)
Washington St & Gansevoort St	(14, 10)
Duffield St & Willoughby St	(4, 6)
Bank St & Hudson St	(122, 118)
8 Ave & W 33 St	(3, 14)
E 89 St & York Ave	(6, 5)
E 12 St & 4 Av	(7, 5)
Perry St & Bleecker St	(10, 7)
E 2 St & Avenue C	(144, 119)
1 Ave & E 68 St	(9, 12)
E 23 St & 1 Ave	(238, 233)
E 52 St & 2 Ave	(5, 14)
Lafayette Ave & St James Pl	(6, 7)
E 97 St & Madison Ave	(3, 3)
Forsyth St & Canal St	(15, 8)
W 45 St & 6 Ave	(6, 4)
W 13 St & 7 Ave	(9, 7)
Lafayette St & E 8 St	(5, 7)
Johnson St & Gold St	(7, 6)
Underhill Ave & Pacific St	(34, 38)
E 41 St & Madison Ave	(7, 9)
E 33 St & 5 Ave	(11, 14)
Stanton St & Norfolk St	(6, 7)
Forsyth St & Broome St	(10, 7)
Kingston Ave & Herkimer St	(2, 1)
Clinton Ave & Flushing Ave	(1, 4)
Leonard St & Maujer St	(0, 1)
Douglass St & 4 Ave	(0, 2)
7 Ave & Central Park South	(6, 5)
8 Ave & W 52 St	(6, 3)
W 42 St & 8 Ave	(12, 9)
Jay St & York St	(10, 5)
Murray St & Greenwich St	(10, 9)
W Broadway & Spring Street	(8, 12)
Riverside Dr & W 82 St	(74, 75)
Rivington St & Ridge St	(8, 5)
W 45 St & 8 Ave	(8, 4)
Butler St & Court St	(1, 2)
W 87 St & Amsterdam Ave	(4, 1)
E 2 St & Avenue A	(16, 15)
Gansevoort St & Hudson St	(5, 9)
E 48 St & 3 Ave	(2, 4)
E 11 St & Avenue B	(12, 8)
2 Ave & E 72 St	(11, 16)
E 32 St & Park Ave	(13, 12)
South End Ave & Liberty St	(22, 26)
Madison Ave & E 82 St	(1, 2)
East End Ave & E 86 St	(0, 4)
E 72 St & York Ave	(7, 8)
W 82 St & Central Park West	(4, 0)
E 81 St & 2 Ave	(4, 11)
Barclay St & Church St	(18, 11)
Broad St & Bridge St	(35, 52)
E 4 St & 2 Ave	(9, 14)
MacDougal St & Prince St	(16, 14)
E 24 St & Park Ave S	(16, 27)
W 34 St & 11 Ave	(21, 18)
E 68 St & Madison Ave	(1, 0)
W 63 St & Broadway	(6, 3)
E 45 St & 3 Ave	(3, 7)
E 68 St & 3 Ave	(3, 2)
Riverside Dr & W 104 St	(5, 8)
Clinton St & Grand St	(10, 11)
William St & Pine St	(8, 5)
W 38 St & 8 Ave	(10, 13)
Avenue D & E 3 St	(5, 4)
E 53 St & Madison Ave	(7, 8)
E 27 St & 1 Ave	(2, 5)
W 18 St & 6 Ave	(18, 10)
46 Ave & 5 St	(13, 9)
Rogers Ave & Sterling St	(2, 1)
W 95 St & Broadway	(5, 3)
11 Ave & W 41 St	(5, 8)
Adelphi St & Myrtle Ave	(3, 0)
Kent Ave & N 7 St	(11, 19)
Liberty St & Broadway	(16, 14)
E 93 St & 2 Ave	(1, 3)
8 Ave & W 31 St	(26, 35)
E 51 St & Lexington Ave	(110, 94)
North Moore St & Greenwich St	(42, 56)
Bergen St & Smith St	(11, 8)
E 91 St & 2 Ave	(4, 4)
South St & Gouverneur Ln	(4, 7)
1 Ave & E 30 St	(10, 12)
W 78 St & Broadway	(6, 3)
West Drive & Prospect Park West	(6, 3)
W 22 St & 8 Ave	(10, 10)
Riverside Dr & W 91 St	(1, 6)
Fulton St & Broadway	(19, 13)
W 42 St & Dyer Ave	(7, 9)
W 67 St & Broadway	(6, 5)
Christopher St & Greenwich St	(18, 31)
Pershing Square North	(16, 17)
Broadway & Berry St	(11, 16)
36 Ave & 10 St	(2, 1)
S 3 St & Bedford Ave	(27, 20)
Madison Ave & E 99 St	(2, 4)
E 82 St & East End Ave	(7, 3)
Park Pl & Vanderbilt Ave	(1, 4)
Willoughby Ave & Tompkins Ave	(2, 3)
E 77 St & 3 Ave	(9, 19)
Carlton Ave & Flushing Ave	(5, 2)
West St & Chambers St	(32, 37)
W 20 St & 8 Ave	(5, 4)
Dean St & 4 Ave	(2, 4)
E 39 St & 2 Ave	(16, 14)
48 Ave & 30 Pl	(0, 1)
Little West St & 1 Pl	(20, 28)
1 Ave & E 16 St	(27, 15)
Old Slip & Front St	(14, 5)
E 30 St & Park Ave S	(10, 5)
Park Ave & E 124 St	(2, 2)
Central Park W & W 96 St	(2, 4)
E 43 St & 5 Ave	(9, 6)
Front St & Washington St	(4, 4)
N 11 St & Kent Ave	(1, 2)
Washington Pl & Broadway	(8, 8)
Washington Pl & 6 Ave	(7, 1)
W 52 St & 6 Ave	(2, 9)
LaGuardia Pl & W 3 St	(5, 8)
Huron St & Franklin St	(8, 9)
W 27 St & 7 Ave	(8, 9)
Milton St & Franklin St	(6, 16)
Centre St & Chambers St	(17, 19)
Cadman Plaza E & Red Cross Pl	(14, 16)
Concord St & Bridge St	(3, 0)
E 16 St & Irving Pl	(11, 12)
Prospect Pl & 6 Ave	(1, 2)
W 52 St & 11 Ave	(9, 10)
W 4 St & 7 Ave S	(10, 9)
5 Ave & E 88 St	(2, 4)
11 Ave & W 59 St	(7, 5)
Bank St & Washington St	(10, 8)
Avenue C & E 18 St	(4, 7)
Mercer St & Bleecker St	(10, 10)
W 52 St & 5 Ave	(8, 7)
W 44 St & 5 Ave	(7, 6)
Frederick Douglass Blvd & W 112 St	(1, 0)
W 17 St & 8 Ave	(6, 15)
Central Park S & 6 Ave	(8, 7)
Schermerhorn St & Bond St	(3, 3)
Pike St & Monroe St	(2, 3)
W 26 St & 8 Ave	(7, 9)
W 21 St & 6 Ave	(15, 16)
Broadway & E 14 St	(22, 24)
E 51 St & 1 Ave	(6, 4)
Franklin St & W Broadway	(13, 8)
W 20 St & 11 Ave	(12, 20)
Lexington Ave & E 29 St	(7, 8)
Nassau Ave & Russell St	(8, 3)
Park Pl & Church St	(11, 6)
E 47 St & Park Ave	(12, 11)
E 33 St & 1 Ave	(11, 19)
India St & West St	(3, 2)
Broadway & E 22 St	(28, 21)
Front St & Maiden Ln	(5, 11)
E 48 St & 5 Ave	(11, 7)
Peck Slip & Front St	(11, 6)
E 58 St & 3 Ave	(13, 14)
Hanson Pl & Ashland Pl	(8, 5)
W 16 St & The High Line	(8, 10)
W 20 St & 7 Ave	(5, 7)
E 15 St & 3 Ave	(11, 16)
McGuinness Blvd & Eagle St	(16, 22)
W 22 St & 10 Ave	(7, 7)
Cathedral Pkwy & Broadway	(2, 3)
Washington Park	(0, 4)
E 84 St & 3 Ave	(11, 13)
Cherry St	(5, 3)
W 47 St & 10 Ave	(6, 6)
Stagg St & Union Ave	(2, 2)
Canal St & Rutgers St	(10, 7)
E 78 St & 2 Ave	(2, 0)
12 Ave & W 40 St	(14, 39)
Jackson Ave & 46 Rd	(1, 0)
Riverside Dr & W 78 St	(2, 4)
Bayard St & Leonard St	(1, 1)
E 2 St & 2 Ave	(16, 19)
Duane St & Greenwich St	(10, 3)
Center Blvd & 48 Ave	(8, 10)
Great Jones St	(11, 17)
9 Ave & W 18 St	(8, 11)
FDR Drive & E 35 St	(15, 9)
Willoughby St & Fleet St	(14, 10)
34 Ave & 13 St	(1, 0)
Leonard St & Church St	(14, 8)
W 106 St & Amsterdam Ave	(2, 0)
Lafayette St & Jersey St	(17, 20)
Meserole Ave & Manhattan Ave	(3, 10)
E 25 St & 1 Ave	(6, 15)
Degraw St & Hoyt St	(2, 1)
E 47 St & 2 Ave	(7, 8)
Pearl St & Hanover Square	(7, 3)
Greenpoint Ave & Manhattan Ave	(9, 9)
3 Ave & Carroll St	(0, 1)
Cleveland Pl & Spring St	(18, 22)
Cooper Square & Astor Pl	(17, 21)
Henry St & Atlantic Ave	(2, 2)
Riverside Dr & W 72 St	(9, 12)
Broadway & W 51 St	(4, 4)
3 St & Hoyt St	(3, 2)
Bedford Ave & Nassau Ave	(9, 11)
E 2 St & Avenue B	(8, 12)
6 Ave & Canal St	(5, 7)
E 13 St & Avenue A	(11, 7)
7 Ave & Park Pl	(6, 15)
Graham Ave & Conselyea St	(2, 1)
Adam Clayton Powell Blvd & W 126 St	(0, 1)
Broadway & W 41 St	(8, 14)
Lefferts Pl & Franklin Ave	(1, 2)
Cliff St & Fulton St	(8, 4)
W 33 St & 7 Ave	(8, 8)
Broadway & W 38 St	(4, 12)
Norfolk St & Broome St	(9, 8)
W 59 St & 10 Ave	(9, 12)
Bayard St & Baxter St	(9, 9)
St James Pl & Oliver St	(4, 5)
Greenwich St & W Houston St	(20, 21)
Fulton St & Grand Ave	(3, 2)
W 84 St & Broadway	(2, 4)
Mercer St & Spring St	(9, 14)
E 84 St & Park Ave	(1, 4)
Madison St & Clinton St	(2, 3)
St Nicholas Ave & Manhattan Ave	(0, 2)
DeKalb Ave & Hudson Ave	(7, 2)
McKibbin St & Manhattan Ave	(2, 0)
South St & Whitehall St	(8, 9)
Amsterdam Ave & W 73 St	(6, 9)
6 Ave & Broome St	(11, 8)
John St & William St	(5, 4)
E 20 St & Park Ave	(15, 10)
W 88 St & West End Ave	(7, 1)
E 5 St & Avenue C	(6, 3)
Broadway & W 56 St	(7, 7)
Grand Army Plaza & Central Park S	(13, 4)
Broadway & W 25 St	(14, 11)
Bergen St & Flatbush Ave	(1, 2)
Barrow St & Hudson St	(20, 9)
Dean St & Hoyt St	(1, 1)
5 Ave & E 29 St	(4, 13)
W 13 St & 5 Ave	(7, 13)
W 37 St & 5 Ave	(6, 9)
W 70 St & Amsterdam Ave	(8, 9)
Mott St & Prince St	(12, 6)
Union St & Bedford Ave	(1, 0)
E 11 St & 2 Ave	(7, 6)
Tompkins Ave & Hopkins St	(2, 0)
W 54 St & 9 Ave	(4, 7)
Lewis Ave & Madison St	(3, 0)
5 Ave & E 73 St	(4, 5)
W 113 St & Broadway	(1, 1)
W 35 St & Dyer Ave	(5, 3)
2 Ave & E 31 St	(15, 15)
E 72 St & Park Ave	(0, 2)
St Marks Pl & 2 Ave	(11, 12)
31 St & Thomson Ave	(0, 2)
5 Ave & E 93 St	(1, 0)
3 Ave & E 95 St	(1, 0)
Lawrence St & Willoughby St	(3, 7)
E 75 St & 3 Ave	(1, 3)
Hancock St & Bedford Ave	(1, 1)
