Washington St & Gansevoort St	(20, 7)
W 43 St & 10 Ave	(125, 121)
E 31 St & 3 Ave	(7, 3)
1 Ave & E 78 St	(112, 123)
3 Ave & E 100 St	(1, 0)
E 81 St & York Ave	(46, 37)
South End Ave & Liberty St	(25, 15)
Vesey Pl & River Terrace	(165, 172)
E 23 St & 1 Ave	(115, 114)
E 2 St & Avenue C	(82, 84)
E 47 St & Park Ave	(2, 3)
1 Ave & E 18 St	(139, 146)
E 20 St & 2 Ave	(3, 6)
W 41 St & 8 Ave	(8, 8)
E 59 St & Madison Ave	(60, 63)
Allen St & Stanton St	(18, 12)
E 11 St & 1 Ave	(160, 159)
W 26 St & 10 Ave	(8, 5)
Fulton St & William St	(7, 5)
N 6 St & Bedford Ave	(129, 146)
Bayard St & Leonard St	(0, 3)
W 15 St & 10 Ave	(140, 162)
W 17 St & 8 Ave	(4, 7)
11 Ave & W 41 St	(3, 5)
Lispenard St & Broadway	(79, 78)
5 Ave & E 29 St	(4, 5)
Bank St & Hudson St	(100, 100)
E 51 St & Lexington Ave	(69, 45)
Broadway & W 49 St	(3, 7)
E 4 St & 2 Ave	(11, 17)
1 Ave & E 16 St	(13, 17)
W 22 St & 10 Ave	(6, 3)
W 26 St & 8 Ave	(3, 5)
W 4 St & 7 Ave S	(11, 9)
Fulton St & Adams St	(68, 58)
Atlantic Ave & Furman St	(1, 10)
Norfolk St & Broome St	(9, 14)
Vernon Blvd & 50 Ave	(43, 63)
3 Ave & E 62 St	(3, 2)
Union Ave & Wallabout St	(1, 0)
E 24 St & Park Ave S	(7, 16)
Great Jones St	(8, 10)
Stanton St & Chrystie St	(8, 8)
Graham Ave & Conselyea St	(3, 3)
Suffolk St & Stanton St	(106, 100)
W 50 St & 9 Ave	(3, 7)
Howard St & Centre St	(96, 92)
West St & Chambers St	(38, 22)
FDR Drive & E 35 St	(5, 5)
8 Ave & W 33 St	(5, 8)
University Pl & E 14 St	(9, 5)
Avenue D & E 3 St	(6, 3)
Huron St & Franklin St	(4, 5)
Pearl St & Hanover Square	(2, 2)
W 107 St & Columbus Ave	(0, 2)
Park Pl & Franklin Ave	(0, 4)
Fulton St & Waverly Ave	(5, 5)
Clinton Ave & Myrtle Ave	(61, 56)
E 39 St & 2 Ave	(10, 8)
7 Ave & Park Pl	(3, 3)
3 St & 7 Ave	(45, 46)
St Marks Pl & 2 Ave	(13, 12)
Grand St & Elizabeth St	(7, 11)
Canal St & Rutgers St	(20, 9)
W 38 St & 8 Ave	(10, 4)
Front St & Washington St	(1, 4)
E 30 St & Park Ave S	(0, 1)
Greenwich Ave & 8 Ave	(8, 13)
Kane St & Clinton St	(0, 1)
Clinton St & Joralemon St	(1, 1)
E 72 St & York Ave	(2, 1)
Bayard St & Baxter St	(5, 6)
E 2 St & Avenue A	(13, 10)
W 74 St & Columbus Ave	(2, 3)
Pershing Square North	(12, 17)
E 75 St & 3 Ave	(1, 4)
Greenwich Ave & Charles St	(13, 4)
Perry St & Bleecker St	(9, 2)
Lawrence St & Willoughby St	(3, 4)
46 Ave & 5 St	(7, 3)
Forsyth St & Broome St	(14, 7)
Broadway & E 14 St	(17, 18)
William St & Pine St	(2, 2)
W 34 St & 11 Ave	(15, 17)
E 10 St & Avenue A	(9, 9)
Leonard St & Church St	(7, 4)
E 17 St & Broadway	(21, 14)
Cadman Plaza West & Montague St	(0, 2)
E 33 St & 5 Ave	(9, 8)
Berry St & N 8 St	(5, 0)
E 52 St & 2 Ave	(3, 5)
Carmine St & 6 Ave	(14, 12)
W 27 St & 7 Ave	(7, 2)
E 58 St & 3 Ave	(9, 9)
6 Ave & Canal St	(5, 5)
Christopher St & Greenwich St	(20, 17)
Duane St & Greenwich St	(4, 1)
Broad St & Bridge St	(28, 35)
Water - Whitehall Plaza	(1, 5)
E 2 St & Avenue B	(8, 6)
LaGuardia Pl & W 3 St	(4, 4)
W 21 St & 6 Ave	(9, 10)
Driggs Ave & N 9 St	(1, 2)
Murray St & West St	(89, 120)
Allen St & Hester St	(8, 4)
Broadway & Berry St	(5, 4)
Stanton St & Norfolk St	(13, 5)
10 Ave & W 28 St	(7, 1)
S 3 St & Bedford Ave	(12, 8)
Broadway & W 29 St	(3, 7)
W 42 St & 8 Ave	(4, 3)
Broadway & W 60 St	(15, 16)
W 64 St & Thelonious Monk Circle	(74, 74)
Reade St & Broadway	(1, 6)
Forsyth St & Canal St	(9, 8)
Pier 40 - Hudson River Park	(22, 19)
Riverside Dr & W 82 St	(66, 67)
E 13 St & Avenue A	(9, 10)
Allen St & Rivington St	(6, 12)
Plaza St West & Flatbush Ave	(2, 3)
E 33 St & 1 Ave	(7, 8)
Park Pl & Vanderbilt Ave	(3, 3)
E 51 St & 1 Ave	(4, 4)
Washington Pl & 6 Ave	(5, 2)
Atlantic Ave & Fort Greene Pl	(5, 3)
Classon Ave & St Marks Ave	(35, 28)
6 Ave & W 33 St	(3, 3)
Graham Ave & Herbert St	(1, 2)
W Broadway & Spring Street	(8, 8)
W 47 St & 10 Ave	(2, 6)
Prospect Pl & Underhill Ave	(0, 2)
W 25 St & 6 Ave	(3, 7)
3 St & Hoyt St	(2, 0)
Richardson St & N Henry St	(1, 3)
Avenue C & E 18 St	(3, 3)
E 7 St & Avenue A	(8, 6)
8 Ave & W 52 St	(2, 4)
W 46 St & 11 Ave	(7, 4)
5 Ave & E 73 St	(3, 3)
2 Ave & E 72 St	(9, 6)
E 9 St & Avenue C	(6, 4)
Cherry St	(4, 6)
E 2 St & 2 Ave	(8, 7)
McGuinness Blvd & Eagle St	(13, 10)
E 5 St & Avenue C	(4, 3)
Central Park West & W 85 St	(5, 1)
Barrow St & Hudson St	(4, 7)
E 55 St & Lexington Ave	(3, 5)
1 Ave & E 68 St	(7, 3)
W 33 St & 7 Ave	(3, 6)
W 52 St & 11 Ave	(6, 8)
Berkeley Pl & 6 Ave	(1, 2)
E 88 St & 1 Ave	(3, 6)
Meserole Ave & Manhattan Ave	(5, 5)
Carlton Ave & Flushing Ave	(1, 1)
7 Ave & Central Park South	(3, 3)
Underhill Ave & Pacific St	(31, 26)
West Drive & Prospect Park West	(3, 4)
E 27 St & 1 Ave	(1, 4)
E 81 St & 3 Ave	(4, 8)
University Pl & E 8 St	(4, 1)
Pershing Square South	(2, 5)
Henry St & Grand St	(5, 7)
8 Ave & W 31 St	(3, 13)
Bergen St & Vanderbilt Ave	(3, 3)
1 Ave & E 30 St	(5, 15)
Cliff St & Fulton St	(3, 7)
Little West St & 1 Pl	(14, 11)
North Moore St & Greenwich St	(14, 7)
E 41 St & Madison Ave	(5, 2)
W 52 St & 6 Ave	(3, 6)
Madison St & Montgomery St	(1, 5)
Eastern Pkwy & Franklin Ave	(2, 1)
W 31 St & 7 Ave	(7, 4)
Central Park West & W 100 St	(1, 0)
Spruce St & Nassau St	(14, 8)
Underhill Ave & Lincoln Pl	(4, 1)
Bedford Ave & Bergen St	(3, 2)
W 20 St & 7 Ave	(2, 4)
3 St & Prospect Park West	(2, 4)
E 39 St & 3 Ave	(3, 0)
Maiden Ln & Pearl St	(2, 3)
W 20 St & 11 Ave	(19, 13)
5 Ave & E 88 St	(5, 1)
E 78 St & 2 Ave	(2, 0)
Franklin Ave & Myrtle Ave	(3, 1)
3 Ave & E 95 St	(3, 2)
E 16 St & 5 Ave	(12, 11)
W 63 St & Broadway	(7, 10)
E 58 St &  1 Ave (NW Corner)	(3, 1)
Bank St & Washington St	(8, 10)
Cadman Plaza E & Johnson St	(2, 0)
E 45 St & 3 Ave	(1, 2)
DeKalb Ave & S Portland Ave	(1, 3)
10 St & 7 Ave	(4, 0)
Hicks St & Montague St	(0, 3)
1 Ave & E 62 St	(13, 10)
E 19 St & 3 Ave	(3, 4)
Milton St & Franklin St	(1, 2)
Cooper Square & Astor Pl	(9, 9)
Lexington Ave & E 29 St	(1, 4)
Lewis Ave & Madison St	(1, 2)
Broadway & W 56 St	(9, 5)
W 56 St & 10 Ave	(3, 5)
Franklin Ave & Empire Blvd	(0, 2)
S Portland Ave & Hanson Pl	(2, 2)
W 89 St & Columbus Ave	(2, 2)
6 Ave & Broome St	(7, 11)
W 76 St & Columbus Ave	(2, 0)
St Marks Pl & 1 Ave	(10, 7)
Willoughby St & Fleet St	(4, 2)
Clinton St & Grand St	(4, 6)
W 88 St & West End Ave	(3, 0)
Amsterdam Ave & W 82 St	(2, 0)
Broadway & W 37 St	(0, 2)
Central Park S & 6 Ave	(2, 7)
6 Ave & 9 St	(1, 1)
Lenox Ave & W 130 St	(2, 0)
E 68 St & 3 Ave	(3, 4)
Lafayette St & Jersey St	(13, 14)
Myrtle Ave & Marcy Ave	(0, 1)
Willoughby Ave & Tompkins Ave	(2, 1)
E 48 St & 5 Ave	(4, 5)
E 48 St & 3 Ave	(6, 5)
Central Park West & W 76 St	(0, 4)
E 25 St & 1 Ave	(0, 4)
Barclay St & Church St	(5, 3)
