N 6 St & Bedford Ave	(106, 120)
Van Brunt St & Van Dyke St	(1, 2)
E 39 St & 3 Ave	(7, 8)
1 Ave & E 18 St	(177, 164)
Bank St & Hudson St	(135, 131)
W 18 St & 6 Ave	(12, 12)
W 31 St & 7 Ave	(7, 9)
W Broadway & Spring Street	(8, 11)
Lispenard St & Broadway	(171, 179)
Hancock St & Bedford Ave	(2, 0)
Classon Ave & St Marks Ave	(48, 37)
W 13 St & 7 Ave	(12, 8)
Clinton Ave & Myrtle Ave	(82, 79)
Fulton St & Grand Ave	(2, 2)
E 81 St & York Ave	(59, 64)
W 84 St & Broadway	(1, 3)
Suffolk St & Stanton St	(137, 133)
Leonard St & Nassau Ave	(4, 7)
1 Ave & E 78 St	(151, 152)
E 77 St & 3 Ave	(12, 14)
Eastern Pkwy & Washington Ave	(3, 0)
E 58 St &  1 Ave (NW Corner)	(4, 0)
E 30 St & Park Ave S	(7, 3)
E 10 St & 5 Ave	(8, 4)
W 43 St & 10 Ave	(138, 144)
Bayard St & Baxter St	(11, 4)
Cliff St & Fulton St	(7, 4)
8 Ave & W 33 St	(11, 15)
W 49 St & 8 Ave	(8, 6)
E 23 St & 1 Ave	(216, 212)
E 20 St & FDR Drive	(19, 41)
Grand St & Havemeyer St	(4, 1)
W 15 St & 10 Ave	(118, 117)
W 15 St & 6 Ave	(13, 5)
3 St & Prospect Park West	(1, 0)
3 St & 7 Ave	(60, 50)
Broadway & W 29 St	(6, 5)
Carmine St & 6 Ave	(16, 22)
Lafayette St & E 8 St	(11, 12)
W 64 St & Thelonious Monk Circle	(106, 106)
E 89 St & York Ave	(1, 2)
E 33 St & 1 Ave	(8, 10)
3 Ave & E 72 St	(1, 1)
Great Jones St	(22, 31)
Howard St & Centre St	(132, 134)
Central Park S & 6 Ave	(6, 6)
W 50 St & 9 Ave	(3, 3)
Liberty St & Broadway	(13, 13)
Broadway & W 49 St	(10, 10)
6 St & 7 Ave	(2, 1)
LaGuardia Pl & W 3 St	(13, 9)
E 11 St & 1 Ave	(149, 160)
W 22 St & 10 Ave	(14, 8)
Broad St & Bridge St	(27, 45)
W 67 St & Broadway	(6, 6)
University Pl & E 8 St	(13, 9)
Broadway & W 41 St	(15, 18)
E 59 St & Madison Ave	(100, 100)
Broadway & E 14 St	(31, 21)
E 84 St & Park Ave	(0, 2)
E 58 St & 1 Ave (NE Corner)	(5, 1)
Rivington St & Chrystie St	(4, 10)
9 Ave & W 45 St	(10, 8)
Fulton St & Waverly Ave	(1, 2)
Underhill Ave & Pacific St	(35, 25)
Amsterdam Ave & W 73 St	(5, 4)
Broadway & W 60 St	(14, 15)
Hudson St & Reade St	(9, 6)
Vesey Pl & River Terrace	(216, 216)
W 24 St & 7 Ave	(5, 6)
E 72 St & York Ave	(4, 9)
E 32 St & Park Ave	(14, 12)
W 42 St & 8 Ave	(8, 8)
5 Ave & E 78 St	(2, 3)
Douglass St & 3 Ave	(2, 1)
Adelphi St & Myrtle Ave	(5, 2)
Fulton St & Adams St	(108, 104)
West St & Chambers St	(11, 13)
E 24 St & Park Ave S	(14, 14)
E 4 St & 2 Ave	(9, 5)
E 51 St & Lexington Ave	(112, 111)
Madison St & Montgomery St	(4, 3)
E 82 St & East End Ave	(3, 3)
Carlton Ave & Flushing Ave	(2, 2)
Madison Ave & E 120 St	(1, 0)
Riverside Dr & W 82 St	(56, 45)
Murray St & West St	(94, 119)
Avenue D & E 3 St	(9, 11)
E 93 St & 2 Ave	(3, 3)
9 Ave & W 28 St	(6, 5)
MacDougal St & Prince St	(12, 13)
Park Ave & Marcus Garvey Blvd	(1, 0)
Willoughby Ave & Tompkins Ave	(2, 1)
E 84 St & 3 Ave	(9, 9)
1 Ave & E 68 St	(15, 13)
Pier 40 - Hudson River Park	(8, 12)
Christopher St & Greenwich St	(21, 16)
W 45 St & 8 Ave	(13, 6)
W 21 St & 6 Ave	(10, 20)
W 11 St & 6 Ave	(8, 4)
Little West St & 1 Pl	(8, 14)
E 68 St & 3 Ave	(3, 3)
Barrow St & Hudson St	(9, 10)
E 2 St & Avenue C	(103, 107)
Lafayette St & Jersey St	(17, 19)
North Moore St & Greenwich St	(46, 42)
8 Ave & W 31 St	(27, 28)
John St & William St	(7, 9)
48 Ave & 5 St	(2, 0)
