Watts St & Greenwich St	(10, 12)
Lispenard St & Broadway	(100, 127)
1 Ave & E 18 St	(201, 174)
E 10 St & Avenue A	(10, 5)
1 Ave & E 78 St	(157, 132)
2 Ave & E 72 St	(8, 15)
E 2 St & 2 Ave	(15, 13)
E 11 St & 1 Ave	(219, 236)
W 64 St & Thelonious Monk Circle	(94, 90)
Amsterdam Ave & W 73 St	(8, 12)
E 45 St & 3 Ave	(4, 2)
E 51 St & Lexington Ave	(50, 50)
W 4 St & 7 Ave S	(13, 15)
Bank St & Hudson St	(151, 135)
W Broadway & Spring Street	(11, 16)
Greenwich St & W Houston St	(7, 2)
Fulton St & Adams St	(72, 77)
Congress St & Clinton St	(0, 1)
Vernon Blvd & 50 Ave	(55, 68)
McGuinness Blvd & Eagle St	(13, 8)
7 Ave & Park Pl	(2, 6)
3 St & 7 Ave	(45, 45)
Broadway & E 14 St	(31, 39)
LaGuardia Pl & W 3 St	(15, 8)
Bayard St & Baxter St	(14, 9)
W 24 St & 7 Ave	(11, 5)
Eastern Pkwy & Washington Ave	(6, 5)
Classon Ave & St Marks Ave	(49, 43)
Stanton St & Chrystie St	(10, 11)
Suffolk St & Stanton St	(146, 143)
Clark St & Henry St	(5, 1)
Pearl St & Hanover Square	(5, 8)
E 23 St & 1 Ave	(133, 129)
E 17 St & Broadway	(35, 26)
W 54 St & 9 Ave	(9, 5)
E 65 St & 2 Ave	(2, 5)
Sullivan St & Washington Sq	(13, 6)
Howard St & Centre St	(110, 121)
E 2 St & Avenue A	(12, 10)
E 2 St & Avenue C	(117, 91)
W 21 St & 6 Ave	(12, 18)
W 38 St & 8 Ave	(7, 4)
Mott St & Prince St	(17, 8)
E 58 St & 3 Ave	(4, 9)
Lafayette St & Jersey St	(9, 10)
Allen St & Rivington St	(19, 15)
Hudson St & Reade St	(6, 5)
E 19 St & 3 Ave	(4, 9)
N 6 St & Bedford Ave	(167, 160)
Greenpoint Ave & Manhattan Ave	(5, 6)
E 74 St & 1 Ave	(2, 2)
Washington Pl & 6 Ave	(3, 6)
E 59 St & Madison Ave	(66, 67)
Peck Slip & Front St	(9, 7)
Lafayette Ave & Classon Ave	(3, 4)
Division St & Bowery	(10, 5)
2 Ave & E 31 St	(8, 5)
Underhill Ave & Lincoln Pl	(4, 1)
E 6 St & Avenue B	(8, 10)
8 Ave & W 33 St	(8, 10)
W 43 St & 10 Ave	(147, 137)
Washington Pl & Broadway	(6, 3)
E 12 St & 3 Ave	(14, 14)
St James Pl & Pearl St	(3, 2)
Underhill Ave & Pacific St	(32, 32)
Murray St & West St	(87, 92)
E 11 St & 2 Ave	(11, 8)
Powers St & Olive St	(0, 1)
St Marks Pl & 2 Ave	(13, 11)
W 84 St & Columbus Ave	(3, 1)
W 15 St & 10 Ave	(162, 188)
W 15 St & 6 Ave	(7, 7)
E 25 St & 2 Ave	(15, 10)
11 Ave & W 41 St	(8, 6)
Avenue D & E 8 St	(5, 1)
Park Pl & Vanderbilt Ave	(4, 2)
E 39 St & 2 Ave	(10, 11)
Clinton Ave & Myrtle Ave	(85, 78)
Adelphi St & Myrtle Ave	(7, 4)
E 9 St & Avenue C	(9, 11)
E 24 St & Park Ave S	(8, 10)
W 50 St & 9 Ave	(5, 4)
1 Ave & E 16 St	(16, 10)
Central Park West & W 102 St	(1, 1)
W 22 St & 8 Ave	(7, 8)
W 70 St & Amsterdam Ave	(8, 8)
Broadway & W 29 St	(5, 7)
2 Ave & E 96 St	(5, 1)
E 81 St & York Ave	(63, 41)
Broadway & W 37 St	(2, 5)
E 11 St & Avenue B	(11, 6)
10 St & 7 Ave	(1, 3)
University Pl & E 8 St	(11, 8)
W 20 St & 7 Ave	(5, 16)
Cleveland Pl & Spring St	(10, 9)
1 Ave & E 68 St	(12, 7)
W 37 St & 5 Ave	(2, 5)
Lexington Ave & E 29 St	(3, 3)
W 31 St & 7 Ave	(8, 6)
S 4 St & Wythe Ave	(16, 21)
Metropolitan Ave & Meeker Ave	(10, 6)
Norfolk St & Broome St	(7, 6)
Christopher St & Greenwich St	(21, 13)
E 4 St & 2 Ave	(11, 24)
Driggs Ave & N Henry St	(2, 4)
Meserole Ave & Manhattan Ave	(4, 4)
Canal St & Rutgers St	(7, 13)
