E 23 St & 1 Ave	(246, 250)
1 Ave & E 30 St	(0, 6)
W 43 St & 10 Ave	(142, 155)
W 50 St & 9 Ave	(2, 5)
Fulton St & Adams St	(111, 105)
Bedford Ave & Bergen St	(5, 2)
Suffolk St & Stanton St	(128, 128)
Centre St & Worth St	(5, 4)
Cooper Square & Astor Pl	(11, 13)
Lispenard St & Broadway	(176, 176)
Vernon Blvd & 50 Ave	(97, 102)
Center Blvd & 48 Ave	(3, 11)
1 Ave & E 18 St	(42, 41)
8 Ave & W 31 St	(20, 35)
Bank St & Hudson St	(113, 111)
W 38 St & 8 Ave	(15, 10)
Amsterdam Ave & W 73 St	(9, 4)
W 64 St & Thelonious Monk Circle	(112, 121)
Lincoln Pl & Classon Ave	(2, 0)
Classon Ave & St Marks Ave	(31, 29)
3 Ave & E 72 St	(1, 0)
W 31 St & 7 Ave	(14, 13)
W 100 St & Broadway	(1, 1)
Riverside Dr & W 82 St	(52, 47)
E 11 St & 1 Ave	(174, 174)
E 77 St & 3 Ave	(14, 11)
Christopher St & Greenwich St	(17, 19)
S 4 St & Wythe Ave	(25, 31)
N 6 St & Bedford Ave	(160, 145)
1 Ave & E 16 St	(18, 13)
Vesey Pl & River Terrace	(262, 263)
E 11 St & 2 Ave	(7, 9)
E 51 St & Lexington Ave	(109, 106)
E 16 St & Irving Pl	(6, 10)
S 3 St & Bedford Ave	(16, 2)
Mott St & Prince St	(21, 9)
W 41 St & 8 Ave	(11, 8)
E 39 St & 2 Ave	(8, 14)
E 2 St & Avenue C	(129, 111)
India St & Manhattan Ave	(8, 10)
University Pl & E 8 St	(6, 4)
Greenwich Ave & Charles St	(11, 4)
W 13 St & 7 Ave	(13, 5)
E 4 St & 2 Ave	(6, 14)
W 20 St & 7 Ave	(8, 8)
Broadway & W 25 St	(7, 6)
Central Park S & 6 Ave	(5, 5)
1 Ave & E 78 St	(163, 166)
46 Ave & 5 St	(8, 10)
Division Av & Hooper St	(2, 2)
E 78 St & 2 Ave	(2, 3)
E 81 St & York Ave	(74, 55)
Allen St & Stanton St	(19, 13)
Roebling St & N 4 St	(3, 2)
Nassau Ave & Russell St	(5, 8)
5 Ave & E 29 St	(3, 11)
Bergen St & Vanderbilt Ave	(2, 4)
E 89 St & York Ave	(9, 8)
Meserole Ave & Manhattan Ave	(6, 7)
Cathedral Pkwy & Broadway	(1, 4)
Broadway & Berry St	(16, 8)
Underhill Ave & Pacific St	(38, 33)
Clinton Ave & Myrtle Ave	(92, 86)
Marcus Garvey Blvd & Macon St	(0, 1)
LaGuardia Pl & W 3 St	(10, 15)
W 49 St & 8 Ave	(9, 10)
E 20 St & FDR Drive	(15, 11)
Howard St & Centre St	(135, 141)
Carmine St & 6 Ave	(14, 14)
Division St & Bowery	(7, 8)
E 25 St & 2 Ave	(14, 13)
Broadway & Roebling St	(3, 2)
Baltic St & 5 Ave	(2, 3)
Central Park West & W 68 St	(6, 6)
Murray St & West St	(126, 127)
W 4 St & 7 Ave S	(12, 7)
Rivington St & Chrystie St	(5, 7)
W 54 St & 9 Ave	(7, 3)
Milton St & Franklin St	(10, 13)
St Marks Pl & 2 Ave	(11, 3)
Greenwich St & W Houston St	(18, 16)
W 34 St & 11 Ave	(10, 10)
Banker St & Meserole Ave	(1, 7)
South End Ave & Liberty St	(17, 17)
Canal St & Rutgers St	(9, 10)
11 Ave & W 41 St	(8, 9)
Adelphi St & Myrtle Ave	(7, 2)
Broad St & Bridge St	(59, 59)
St Marks Pl & 1 Ave	(13, 12)
E 72 St & York Ave	(5, 11)
8 Ave & W 33 St	(9, 17)
Douglass St & 3 Ave	(2, 3)
Henry St & Grand St	(4, 7)
Great Jones St	(7, 17)
Avenue D & E 3 St	(10, 6)
W 21 St & 6 Ave	(10, 19)
W 42 St & 8 Ave	(7, 5)
E 59 St & Madison Ave	(129, 130)
9 Ave & W 28 St	(6, 8)
Bushwick Ave & Powers St	(1, 1)
Wythe Ave & Metropolitan Ave	(12, 17)
1 Ave & E 68 St	(14, 9)
Center Blvd & 51 Ave	(3, 0)
E 27 St & 1 Ave	(2, 9)
6 Ave & Canal St	(13, 17)
Lafayette St & E 8 St	(14, 10)
Broadway & E 14 St	(31, 28)
W 25 St & 6 Ave	(2, 4)
Hudson St & Reade St	(10, 11)
West End Ave & W 94 St	(1, 2)
E 33 St & 1 Ave	(8, 13)
Myrtle Ave & Lewis Ave	(1, 2)
E 32 St & Park Ave	(11, 8)
W 42 St & Dyer Ave	(12, 5)
W 18 St & 6 Ave	(9, 13)
E 19 St & 3 Ave	(6, 8)
W 78 St & Broadway	(6, 7)
Duane St & Greenwich St	(8, 7)
3 St & 7 Ave	(45, 41)
10 St & 7 Ave	(2, 2)
Broadway & W 60 St	(20, 18)
West Thames St	(13, 16)
Henry St & Degraw St	(3, 2)
W 20 St & 11 Ave	(15, 24)
Franklin Ave & Empire Blvd	(2, 1)
Graham Ave & Grand St	(3, 1)
Riverside Dr & W 72 St	(9, 5)
W 15 St & 10 Ave	(138, 139)
W 82 St & Central Park West	(3, 2)
E 75 St & 3 Ave	(3, 5)
E 91 St & 2 Ave	(6, 5)
2 Ave & E 72 St	(13, 14)
McGuinness Blvd & Eagle St	(24, 20)
W 13 St & 5 Ave	(8, 7)
Pier 40 - Hudson River Park	(12, 18)
Allen St & Hester St	(18, 11)
Franklin St & Dupont St	(12, 10)
W 27 St & 10 Ave	(11, 12)
Henry St & Atlantic Ave	(5, 8)
E 2 St & 2 Ave	(11, 11)
E 47 St & Park Ave	(17, 16)
E 89 St & 3 Ave	(2, 2)
Avenue D & E 12 St	(4, 1)
E 15 St & 3 Ave	(10, 10)
E 97 St & Madison Ave	(3, 1)
Willoughby Ave & Tompkins Ave	(1, 0)
Riverside Blvd & W 67 St	(4, 8)
W 44 St & 5 Ave	(9, 8)
Perry St & Bleecker St	(4, 4)
Grand Army Plaza & Plaza St West	(4, 1)
Lafayette Ave & St James Pl	(5, 4)
Water - Whitehall Plaza	(6, 9)
Liberty St & Broadway	(10, 9)
W 84 St & Broadway	(2, 2)
E 55 St & Lexington Ave	(4, 7)
E 72 St & Park Ave	(3, 2)
Park Ave & E 124 St	(3, 2)
W 88 St & West End Ave	(3, 3)
E 110 St & Madison Ave	(1, 2)
Forsyth St & Broome St	(9, 14)
Broadway & W 49 St	(12, 8)
Broadway & W 53 St	(1, 8)
7 Ave & Central Park South	(3, 5)
North Moore St & Greenwich St	(43, 49)
W 22 St & 10 Ave	(11, 8)
E 58 St & 3 Ave	(8, 5)
48 Ave & 5 St	(9, 3)
W 11 St & 6 Ave	(6, 6)
W 16 St & The High Line	(9, 10)
W 22 St & 8 Ave	(10, 5)
E 91 St & Park Ave	(4, 3)
E 7 St & Avenue A	(10, 7)
12 Ave & W 40 St	(16, 18)
W 56 St & 10 Ave	(6, 8)
E 48 St & 5 Ave	(6, 9)
Duffield St & Willoughby St	(3, 8)
Bank St & Washington St	(6, 6)
Washington Pl & 6 Ave	(4, 12)
E 6 St & Avenue B	(9, 10)
Mercer St & Bleecker St	(10, 12)
Avenue C & E 18 St	(4, 4)
John St & William St	(7, 6)
Cleveland Pl & Spring St	(17, 18)
Sullivan St & Washington Sq	(6, 5)
E 81 St & 2 Ave	(2, 3)
Front St & Washington St	(4, 6)
Bayard St & Leonard St	(1, 2)
Monroe St & Bedford Ave	(2, 1)
19 St & 24 Ave	(1, 0)
Barrow St & Hudson St	(13, 11)
E 84 St & 1 Ave	(1, 2)
E 11 St & Avenue B	(6, 8)
Pacific St & Classon Ave	(0, 1)
E 81 St & 3 Ave	(2, 3)
45 Rd & 11 St	(5, 3)
Jay St & Tech Pl	(1, 4)
Hanson Pl & Ashland Pl	(7, 7)
W 70 St & Amsterdam Ave	(15, 6)
State St & Smith St	(2, 1)
Fulton St & Waverly Ave	(2, 1)
Greenwich Ave & 8 Ave	(6, 8)
