1 Ave & E 78 St	(34, 34)
E 84 St & Park Ave	(0, 1)
Avenue D & E 3 St	(2, 1)
E 2 St & Avenue C	(34, 33)
E 88 St & 1 Ave	(2, 3)
LaGuardia Pl & W 3 St	(9, 4)
Howard St & Centre St	(23, 22)
University Pl & E 8 St	(4, 2)
E 23 St & 1 Ave	(41, 39)
W 43 St & 10 Ave	(39, 43)
W 42 St & 8 Ave	(2, 1)
1 Ave & E 18 St	(61, 65)
W 15 St & 6 Ave	(2, 3)
E 11 St & 1 Ave	(44, 45)
E 10 St & Avenue A	(0, 2)
Bank St & Hudson St	(36, 37)
E 60 St & York Ave	(1, 1)
W 4 St & 7 Ave S	(5, 4)
Canal St & Rutgers St	(4, 3)
Greenwich Ave & 8 Ave	(1, 1)
E 2 St & Avenue A	(6, 5)
Peck Slip & Front St	(3, 0)
Fulton St & Adams St	(12, 18)
1 Ave & E 44 St	(1, 0)
9 Ave & W 45 St	(3, 3)
Vernon Blvd & 50 Ave	(15, 8)
46 Ave & 5 St	(3, 2)
Mott St & Prince St	(4, 1)
Suffolk St & Stanton St	(22, 20)
Clinton St & Grand St	(0, 2)
W 50 St & 9 Ave	(1, 0)
W 56 St & 10 Ave	(1, 2)
W 49 St & 8 Ave	(3, 3)
W 20 St & 8 Ave	(2, 2)
Union Ave & N 12 St	(3, 1)
N 6 St & Bedford Ave	(18, 26)
2 Ave & E 72 St	(4, 3)
W 53 St & 10 Ave	(1, 3)
W 54 St & 9 Ave	(2, 1)
W 64 St & Thelonious Monk Circle	(28, 30)
E 33 St & 5 Ave	(2, 2)
Allen St & Stanton St	(3, 4)
S Portland Ave & Hanson Pl	(2, 1)
Clinton Ave & Myrtle Ave	(9, 11)
W 27 St & 10 Ave	(1, 1)
Bayard St & Baxter St	(2, 2)
E 45 St & 3 Ave	(2, 1)
E 59 St & Madison Ave	(9, 10)
W 63 St & Broadway	(3, 0)
Lispenard St & Broadway	(18, 19)
Montrose Ave & Bushwick Ave	(0, 1)
E 2 St & Avenue B	(1, 4)
W 22 St & 8 Ave	(1, 1)
E 25 St & 2 Ave	(4, 6)
E 11 St & 2 Ave	(7, 4)
Dean St & Franklin Ave	(1, 0)
Underhill Ave & Pacific St	(3, 3)
Irving Ave & Jefferson St	(2, 0)
W 89 St & Columbus Ave	(0, 1)
Willoughby St & Fleet St	(2, 0)
W 15 St & 7 Ave	(5, 1)
W 15 St & 10 Ave	(7, 19)
Meserole Ave & Manhattan Ave	(0, 4)
India St & Manhattan Ave	(1, 1)
E 9 St & Avenue C	(2, 3)
W 20 St & 7 Ave	(3, 2)
Franklin Ave & St Marks Ave	(2, 0)
Classon Ave & St Marks Ave	(7, 8)
W 52 St & 5 Ave	(2, 0)
McGuinness Blvd & Eagle St	(1, 3)
MacDougal St & Washington Sq	(1, 1)
W 47 St & 10 Ave	(6, 8)
Great Jones St	(6, 6)
E 51 St & Lexington Ave	(12, 8)
William St & Pine St	(0, 2)
Wyckoff Av & Jefferson St	(0, 1)
E 27 St & 1 Ave	(0, 3)
3 St & 7 Ave	(8, 7)
Willoughby Ave & Hall St	(0, 1)
Allen St & Rivington St	(2, 2)
Washington Pl & 6 Ave	(3, 3)
W 46 St & 11 Ave	(1, 1)
Lexington Ave & E 36 St	(2, 4)
1 Ave & E 16 St	(5, 4)
3 St & 3 Ave	(1, 0)
Duane St & Greenwich St	(2, 1)
Broad St & Bridge St	(3, 10)
E 39 St & 2 Ave	(3, 1)
Riverside Dr & W 82 St	(7, 11)
Forsyth St & Broome St	(2, 3)
6 Ave & Canal St	(1, 2)
S 4 St & Wythe Ave	(4, 1)
Stanton St & Chrystie St	(3, 2)
W 33 St & 7 Ave	(1, 1)
Broadway & E 14 St	(2, 8)
Bedford Ave & Nassau Ave	(0, 3)
E 33 St & 1 Ave	(1, 2)
W 41 St & 8 Ave	(1, 0)
E 7 St & Avenue A	(2, 2)
E 20 St & 2 Ave	(1, 1)
E 81 St & York Ave	(11, 13)
Greene Av & Myrtle Av	(0, 1)
10 St & 7 Ave	(0, 1)
Vesey Pl & River Terrace	(18, 17)
E 31 St & 3 Ave	(3, 3)
Avenue C & E 18 St	(1, 2)
Rivington St & Chrystie St	(2, 0)
Milton St & Franklin St	(2, 0)
E 19 St & 3 Ave	(1, 2)
Metropolitan Ave & Bedford Ave	(0, 1)
W 26 St & 10 Ave	(1, 2)
E 4 St & 2 Ave	(5, 5)
Amsterdam Ave & W 82 St	(0, 1)
Central Park West & W 72 St	(1, 2)
E 58 St &  1 Ave (NW Corner)	(1, 2)
48 Ave & 30 Pl	(0, 1)
Division St & Bowery	(0, 2)
E 16 St & Irving Pl	(2, 2)
West Thames St	(6, 7)
Park Ave & Marcus Garvey Blvd	(1, 0)
5 Ave & E 78 St	(1, 1)
Smith St & 9 St	(1, 1)
W 25 St & 6 Ave	(2, 1)
Broadway & W 60 St	(1, 2)
W 13 St & 5 Ave	(2, 4)
6 St & 7 Ave	(0, 1)
7 Ave & Central Park South	(0, 1)
1 Ave & E 30 St	(0, 4)
W 31 St & 7 Ave	(5, 1)
Central Park West & W 68 St	(0, 1)
Fulton St & Broadway	(2, 1)
Lexington Ave & E 26 St	(0, 2)
5 Ave & E 73 St	(2, 2)
South End Ave & Liberty St	(5, 5)
Murray St & West St	(22, 22)
Henry St & Grand St	(1, 0)
8 Ave & W 33 St	(5, 4)
Metropolitan Ave & Meeker Ave	(2, 0)
Center Blvd & 51 Ave	(0, 1)
Lexington Ave & E 63 St	(0, 1)
W 21 St & 6 Ave	(4, 4)
Queens Plaza North & Crescent St	(1, 1)
Broadway & Battery Pl	(6, 2)
Pioneer St & Van Brunt St	(1, 0)
Perry St & Bleecker St	(1, 0)
W 27 St & 7 Ave	(0, 2)
Cleveland Pl & Spring St	(5, 3)
West End Ave & W 107 St	(1, 0)
Avenue D & E 8 St	(2, 0)
E 41 St & Madison Ave	(0, 1)
N 12 St & Bedford Ave	(1, 2)
E 82 St & East End Ave	(5, 0)
Fulton St & William St	(4, 2)
Greene Ave & Throop Ave	(1, 0)
Henry St & Degraw St	(2, 0)
Central Park S & 6 Ave	(1, 1)
Franklin St & W Broadway	(1, 1)
Grand St & Elizabeth St	(3, 4)
E 43 St & 5 Ave	(0, 1)
E 89 St & 3 Ave	(2, 1)
Spruce St & Nassau St	(2, 1)
E 91 St & 2 Ave	(1, 0)
48 Ave & 5 St	(1, 0)
North Moore St & Greenwich St	(1, 1)
Nassau Ave & Newell St	(3, 0)
Myrtle Ave & St Edwards St	(0, 1)
11 Ave & W 59 St	(2, 5)
Murray St & Greenwich St	(2, 2)
W 16 St & 8 Ave	(0, 3)
W 18 St & 6 Ave	(1, 3)
Pershing Square South	(2, 2)
Kent Ave & N 7 St	(1, 2)
Hudson St & Reade St	(4, 3)
E 24 St & Park Ave S	(3, 4)
Broadway & W 38 St	(1, 1)
Rivington St & Ridge St	(4, 0)
FDR Drive & E 35 St	(1, 1)
N 11 St & Kent Ave	(0, 1)
W 20 St & 11 Ave	(2, 1)
W Broadway & Spring Street	(3, 2)
Bergen St & Smith St	(1, 2)
E 91 St & Park Ave	(1, 1)
Wythe Ave & Metropolitan Ave	(2, 0)
Cooper Square & Astor Pl	(4, 6)
E 16 St & 5 Ave	(2, 2)
E 20 St & FDR Drive	(6, 3)
Lafayette St & Jersey St	(2, 3)
Broadway & E 22 St	(4, 5)
Lawrence St & Willoughby St	(0, 2)
E 15 St & 3 Ave	(7, 4)
Bond St & Fulton St	(0, 1)
E 65 St & 2 Ave	(1, 1)
E 17 St & Broadway	(8, 3)
Duffield St & Willoughby St	(0, 1)
Vernon Blvd & 47 Rd	(0, 1)
1 Ave & E 62 St	(3, 1)
Park Pl & Vanderbilt Ave	(0, 1)
12 Ave & W 40 St	(1, 2)
Bond St & Bergen St	(1, 1)
E 12 St & 3 Ave	(5, 4)
Broadway & W 25 St	(0, 2)
Little West St & 1 Pl	(5, 5)
14 St & 7 Ave	(1, 1)
3 Ave & E 95 St	(1, 1)
Riverside Dr & W 78 St	(2, 2)
W 100 St & Manhattan Ave	(1, 0)
E 55 St & 3 Ave	(2, 2)
St James Pl & Oliver St	(1, 1)
E 2 St & 2 Ave	(4, 3)
W 24 St & 7 Ave	(0, 4)
Center Blvd & 48 Ave	(1, 2)
St Marks Pl & 2 Ave	(1, 5)
44 Dr & Jackson Ave	(1, 1)
E 89 St & York Ave	(0, 1)
DeKalb Ave & Hudson Ave	(0, 1)
St James Pl & Pearl St	(1, 1)
1 Ave & E 68 St	(6, 0)
W 100 St & Broadway	(3, 2)
Garfield Pl & 8 Ave	(0, 1)
Court St & Nelson St	(1, 0)
Broadway & W 49 St	(3, 3)
2 Ave & E 31 St	(2, 1)
Lexington Ave & E 29 St	(2, 3)
W 67 St & Broadway	(4, 2)
Centre St & Worth St	(1, 1)
Broadway & W 29 St	(3, 1)
Pier 40 - Hudson River Park	(2, 0)
Columbia St & Rivington St	(1, 1)
Barrow St & Hudson St	(2, 3)
E 20 St & Park Ave	(1, 2)
27 St & Hunter St	(0, 1)
St Johns Pl & Washington Ave	(1, 1)
Riverside Blvd & W 67 St	(5, 1)
Allen St & Hester St	(3, 2)
E 72 St & York Ave	(1, 1)
Hicks St & Montague St	(1, 2)
Pike St & Monroe St	(2, 0)
W 78 St & Broadway	(1, 1)
E 39 St & 3 Ave	(1, 1)
Pike St & E Broadway	(4, 0)
Adelphi St & Myrtle Ave	(1, 0)
E 13 St & Avenue A	(4, 2)
8 Ave & W 31 St	(2, 2)
8 Ave & W 52 St	(2, 1)
E 53 St & 3 Ave	(1, 0)
W 88 St & West End Ave	(2, 1)
Lafayette St & E 8 St	(3, 3)
W 42 St & Dyer Ave	(2, 2)
E 77 St & 3 Ave	(4, 4)
W 43 St & 6 Ave	(2, 0)
W 34 St & 11 Ave	(0, 3)
Emerson Pl & Myrtle Ave	(0, 1)
Lafayette Ave & Fort Greene Pl	(1, 1)
Forsyth St & Canal St	(2, 0)
5 Ave & 3 St	(2, 0)
Pitt St & Stanton St	(1, 0)
5 Ave & E 29 St	(0, 1)
Mercer St & Spring St	(2, 3)
Columbia St & Kane St	(1, 4)
E 88 St & Park Ave	(0, 1)
Bergen St & Flatbush Ave	(3, 0)
Christopher St & Greenwich St	(3, 2)
6 Ave & 9 St	(0, 1)
West St & Chambers St	(1, 0)
E 51 St & 1 Ave	(2, 1)
Broadway & W 53 St	(2, 0)
Roebling St & N 4 St	(1, 0)
Leonard St & Nassau Ave	(1, 2)
Eastern Pkwy & Washington Ave	(1, 0)
11 Ave & W 41 St	(1, 1)
E 25 St & 1 Ave	(1, 1)
Broadway & Berry St	(1, 1)
Division Ave & Marcy Ave	(1, 0)
E 84 St & 1 Ave	(2, 3)
9 Ave & W 28 St	(2, 1)
5 Ave & E 88 St	(0, 1)
E 47 St & 2 Ave	(0, 1)
Washington St & Gansevoort St	(1, 1)
E 6 St & Avenue B	(1, 1)
E 32 St & Park Ave	(0, 2)
Banker St & Meserole Ave	(1, 1)
1 Ave & E 94 St	(0, 1)
Pershing Square North	(2, 0)
W 76 St & Columbus Ave	(3, 3)
3 St & Prospect Park West	(1, 0)
DeKalb Ave & Vanderbilt Ave	(1, 0)
Court St & State St	(1, 0)
Cadman Plaza West & Montague St	(0, 1)
W 70 St & Amsterdam Ave	(5, 3)
MacDougal St & Prince St	(0, 1)
Leonard St & Church St	(0, 1)
Washington Pl & Broadway	(0, 2)
Kane St & Clinton St	(0, 1)
St Marks Pl & 1 Ave	(2, 1)
W 13 St & 7 Ave	(2, 1)
