W 15 St & 10 Ave	(235, 206)
12 Ave & W 40 St	(27, 48)
E 72 St & York Ave	(4, 5)
W 64 St & Thelonious Monk Circle	(80, 89)
Bus Slip & State St	(8, 14)
Vesey Pl & River Terrace	(247, 251)
E 52 St & 2 Ave	(3, 1)
E 81 St & York Ave	(59, 58)
Duane St & Greenwich St	(6, 1)
Bank St & Hudson St	(155, 165)
Cleveland Pl & Spring St	(18, 23)
Lispenard St & Broadway	(105, 119)
E 2 St & 2 Ave	(18, 3)
E 23 St & 1 Ave	(143, 148)
DeKalb Ave & Hudson Ave	(5, 2)
Clinton Ave & Myrtle Ave	(93, 87)
Franklin Ave & Empire Blvd	(4, 8)
Classon Ave & St Marks Ave	(53, 51)
Suffolk St & Stanton St	(150, 148)
Stanton St & Chrystie St	(13, 18)
E 9 St & Avenue C	(12, 11)
Wythe Ave & Metropolitan Ave	(8, 9)
Vernon Blvd & 50 Ave	(117, 99)
Allen St & Stanton St	(13, 11)
W 13 St & 5 Ave	(8, 7)
1 Ave & E 18 St	(192, 208)
Bank St & Washington St	(6, 7)
N 6 St & Bedford Ave	(157, 158)
Kent Ave & S 11 St	(2, 6)
E 4 St & 2 Ave	(16, 18)
E 2 St & Avenue C	(137, 144)
Murray St & West St	(152, 163)
Liberty St & Broadway	(16, 7)
Roebling St & N 4 St	(1, 3)
Willoughby Ave & Tompkins Ave	(0, 1)
Cadman Plaza E & Johnson St	(2, 4)
Fulton St & Adams St	(73, 72)
Greenwich Ave & Charles St	(9, 7)
E 11 St & 1 Ave	(254, 245)
West Thames St	(24, 23)
Broad St & Bridge St	(39, 40)
Avenue D & E 3 St	(7, 8)
1 Ave & E 78 St	(160, 176)
Hicks St & Montague St	(2, 2)
Graham Ave & Conselyea St	(4, 6)
Greene Ave & Nostrand Ave	(1, 1)
W 42 St & 8 Ave	(7, 6)
W 43 St & 10 Ave	(156, 162)
MacDougal St & Washington Sq	(4, 9)
Atlantic Ave & Fort Greene Pl	(5, 1)
W 20 St & 8 Ave	(5, 13)
E 6 St & Avenue B	(15, 17)
Cherry St	(11, 5)
2 Ave & E 31 St	(13, 8)
E 110 St & Madison Ave	(0, 1)
Howard St & Centre St	(158, 165)
Union St & Nevins St	(1, 0)
N 12 St & Bedford Ave	(5, 2)
E 25 St & 2 Ave	(12, 13)
E 89 St & 3 Ave	(2, 3)
W 16 St & 8 Ave	(6, 8)
E 24 St & Park Ave S	(18, 8)
W 52 St & 5 Ave	(4, 4)
W 46 St & 11 Ave	(11, 7)
Mott St & Prince St	(10, 16)
Broadway & E 14 St	(21, 26)
Montrose Ave & Bushwick Ave	(2, 1)
Rivington St & Ridge St	(13, 6)
Dean St & 4 Ave	(0, 4)
Rivington St & Chrystie St	(10, 9)
Metropolitan Ave & Meeker Ave	(8, 4)
5 Ave & E 29 St	(3, 3)
E 20 St & Park Ave	(11, 10)
Eastern Pkwy & Franklin Ave	(5, 1)
W 4 St & 7 Ave S	(16, 12)
LaGuardia Pl & W 3 St	(9, 8)
E 11 St & Avenue B	(5, 8)
W 15 St & 6 Ave	(10, 11)
Berry St & N 8 St	(5, 7)
Carmine St & 6 Ave	(19, 27)
S 4 St & Wythe Ave	(17, 12)
8 Ave & W 33 St	(10, 11)
Washington Ave & Greene Ave	(4, 2)
Murray St & Greenwich St	(6, 9)
North Moore St & Greenwich St	(18, 8)
FDR Drive & E 35 St	(18, 11)
Park Pl & Franklin Ave	(3, 0)
Underhill Ave & Pacific St	(55, 50)
2 Ave & E 99 St	(2, 0)
Lafayette St & E 8 St	(10, 14)
Kent Ave & N 7 St	(10, 9)
6 Ave & Broome St	(23, 12)
Amsterdam Ave & W 79 St	(1, 3)
Lafayette St & Jersey St	(17, 9)
E 31 St & 3 Ave	(9, 6)
E 39 St & 2 Ave	(6, 5)
E 45 St & 3 Ave	(3, 2)
E 12 St & 3 Ave	(9, 16)
W 21 St & 6 Ave	(18, 14)
Broadway & W 37 St	(6, 4)
Leonard St & Nassau Ave	(3, 5)
Maiden Ln & Pearl St	(3, 6)
Broadway & W 60 St	(13, 7)
Allen St & Hester St	(16, 3)
Columbus Ave & W 72 St	(9, 2)
Canal St & Rutgers St	(9, 12)
3 St & 7 Ave	(54, 61)
West Drive & Prospect Park West	(2, 7)
E 19 St & 3 Ave	(5, 3)
Avenue D & E 12 St	(3, 1)
Broadway & Berry St	(6, 7)
Hanson Pl & Ashland Pl	(8, 9)
E 2 St & Avenue B	(13, 9)
Humboldt St & Varet St	(1, 2)
E 33 St & 5 Ave	(8, 3)
Washington Pl & 6 Ave	(5, 6)
MacDougal St & Prince St	(16, 16)
E 16 St & 5 Ave	(13, 5)
E 33 St & 1 Ave	(7, 9)
Huron St & Franklin St	(3, 9)
Little West St & 1 Pl	(23, 29)
McGuinness Blvd & Eagle St	(12, 16)
Reade St & Broadway	(5, 5)
Bergen St & Flatbush Ave	(4, 8)
