Howard St & Centre St	(106, 105)
S 3 St & Bedford Ave	(1, 6)
W 63 St & Broadway	(6, 3)
1 Ave & E 78 St	(93, 97)
Metropolitan Ave & Meeker Ave	(4, 1)
N 6 St & Bedford Ave	(122, 123)
W 15 St & 10 Ave	(156, 158)
W 43 St & 10 Ave	(116, 111)
Pearl St & Hanover Square	(8, 5)
Lispenard St & Broadway	(75, 101)
Lawrence St & Willoughby St	(4, 4)
Clinton Ave & Myrtle Ave	(76, 55)
Flushing Ave & Vanderbilt Ave	(4, 3)
Suffolk St & Stanton St	(100, 97)
E 6 St & Avenue B	(3, 8)
Stanton St & Chrystie St	(15, 3)
Washington St & Gansevoort St	(15, 10)
Vesey Pl & River Terrace	(190, 224)
Sterling Pl & Bedford Ave	(3, 1)
3 St & 7 Ave	(39, 27)
E 51 St & Lexington Ave	(43, 46)
E 84 St & 3 Ave	(6, 7)
E 2 St & Avenue C	(70, 64)
Carmine St & 6 Ave	(11, 17)
E 89 St & York Ave	(1, 4)
1 Ave & E 16 St	(12, 10)
E 23 St & 1 Ave	(92, 96)
E 15 St & 3 Ave	(6, 10)
Mott St & Prince St	(4, 5)
St Marks Pl & 2 Ave	(14, 11)
1 Ave & E 18 St	(112, 106)
Bank St & Hudson St	(96, 98)
8 Ave & W 33 St	(8, 12)
W 56 St & 10 Ave	(3, 5)
Norfolk St & Broome St	(9, 15)
Metropolitan Ave & Bedford Ave	(6, 5)
E 13 St & Avenue A	(7, 8)
Allen St & Stanton St	(10, 9)
E 91 St & 2 Ave	(3, 2)
E 81 St & York Ave	(38, 35)
Dean St & Hoyt St	(2, 0)
Rivington St & Ridge St	(5, 5)
5 St & 51 Ave	(1, 2)
Vernon Blvd & 50 Ave	(56, 56)
Amsterdam Ave & W 73 St	(7, 2)
Riverside Dr & W 82 St	(81, 90)
MacDougal St & Washington Sq	(8, 7)
W 52 St & 11 Ave	(5, 14)
Broad St & Bridge St	(38, 46)
Broadway & W 60 St	(15, 15)
W 64 St & Thelonious Monk Circle	(68, 72)
Broadway & Roebling St	(2, 2)
E 20 St & Park Ave	(7, 2)
Stagg St & Union Ave	(3, 3)
E 6 St & Avenue D	(3, 3)
W 22 St & 8 Ave	(6, 6)
E 2 St & Avenue B	(5, 4)
Classon Ave & St Marks Ave	(25, 35)
43 St & Broadway	(1, 1)
St Marks Pl & 1 Ave	(12, 12)
E 11 St & 1 Ave	(145, 157)
Roebling St & N 4 St	(0, 2)
10 St & 7 Ave	(3, 2)
Banker St & Meserole Ave	(1, 2)
W 42 St & 8 Ave	(5, 0)
Broadway & W 29 St	(5, 7)
Kent Ave & N 7 St	(6, 8)
Underhill Ave & Pacific St	(43, 28)
E 27 St & 1 Ave	(3, 0)
W Broadway & Spring Street	(9, 3)
E 30 St & Park Ave S	(3, 2)
Stanton St & Norfolk St	(7, 6)
Lafayette St & Jersey St	(5, 10)
2 Ave & E 31 St	(6, 6)
Division St & Bowery	(9, 3)
E 10 St & Avenue A	(4, 10)
Allen St & Rivington St	(10, 13)
Greenpoint Ave & Manhattan Ave	(7, 4)
Bond St & Bergen St	(2, 1)
E 58 St & 1 Ave (NE Corner)	(0, 2)
E 16 St & Irving Pl	(5, 2)
Allen St & Hester St	(7, 3)
W 15 St & 7 Ave	(10, 1)
W 78 St & Broadway	(5, 3)
W 53 St & 10 Ave	(0, 3)
Avenue D & E 3 St	(7, 0)
Fulton St & William St	(6, 3)
W 50 St & 9 Ave	(7, 3)
E 2 St & 2 Ave	(11, 7)
Bayard St & Baxter St	(3, 5)
Water - Whitehall Plaza	(4, 0)
E 7 St & Avenue A	(8, 3)
Eastern Pkwy & Washington Ave	(2, 1)
Forsyth St & Canal St	(6, 7)
DeKalb Ave & Vanderbilt Ave	(4, 2)
Washington Ave & Greene Ave	(1, 2)
W 45 St & 8 Ave	(2, 5)
Meserole Ave & Manhattan Ave	(2, 3)
Broadway & E 14 St	(20, 17)
Union St & 4 Ave	(1, 1)
Cleveland Pl & Spring St	(13, 16)
Pitt St & Stanton St	(1, 3)
Broadway & W 41 St	(3, 2)
12 Ave & W 40 St	(50, 47)
Canal St & Rutgers St	(3, 6)
Fulton St & Adams St	(60, 62)
Henry St & Middagh St	(2, 2)
W 21 St & 6 Ave	(9, 10)
E 20 St & FDR Drive	(6, 6)
Great Jones St	(8, 9)
E 84 St & Park Ave	(5, 2)
6 Ave & Canal St	(8, 6)
Grand St & Havemeyer St	(3, 1)
E 55 St & Lexington Ave	(0, 1)
Washington Pl & Broadway	(2, 3)
S 4 St & Wythe Ave	(10, 6)
Harrison St & Hudson St	(9, 5)
Union Ave & Jackson St	(1, 0)
Lafayette St & E 8 St	(9, 19)
E 76 St & Park Ave	(2, 1)
John St & William St	(1, 7)
W 22 St & 10 Ave	(7, 17)
MacDougal St & Prince St	(6, 8)
McGuinness Blvd & Eagle St	(15, 8)
Broadway & E 22 St	(8, 6)
India St & Manhattan Ave	(3, 10)
W 26 St & 10 Ave	(5, 4)
9 Ave & W 45 St	(4, 8)
Columbus Ave & W 72 St	(7, 3)
E 25 St & 2 Ave	(10, 9)
Carroll St & Washington Ave	(1, 5)
11 Ave & W 27 St	(19, 12)
W 76 St & Columbus Ave	(0, 1)
W 13 St & 7 Ave	(15, 4)
E 4 St & 2 Ave	(12, 8)
Central Park W & W 96 St	(2, 3)
E 2 St & Avenue A	(9, 10)
Lexington Ave & E 63 St	(1, 3)
W 52 St & 6 Ave	(2, 4)
Lenox Ave & W 111 St	(1, 1)
W 16 St & 8 Ave	(3, 13)
E 88 St & 1 Ave	(3, 4)
1 Ave & E 30 St	(6, 9)
E 81 St & 2 Ave	(5, 3)
E 33 St & 1 Ave	(1, 4)
Jay St & York St	(2, 9)
1 Ave & E 62 St	(5, 5)
E 72 St & York Ave	(1, 4)
Park Pl & Vanderbilt Ave	(2, 4)
W 49 St & 8 Ave	(6, 5)
Amsterdam Ave & W 82 St	(2, 3)
3 Ave & Schermerhorn St	(8, 5)
Little West St & 1 Pl	(26, 20)
3 St & 3 Ave	(3, 3)
Sullivan St & Washington Sq	(5, 10)
W 84 St & Columbus Ave	(7, 0)
Murray St & West St	(116, 135)
E 20 St & 2 Ave	(3, 4)
W 41 St & 8 Ave	(3, 4)
Center Blvd & 51 Ave	(5, 10)
Park Ave & Marcus Garvey Blvd	(1, 0)
Forsyth St & Broome St	(8, 6)
Union Ave & N 12 St	(5, 4)
S Portland Ave & Hanson Pl	(4, 4)
W 15 St & 6 Ave	(7, 4)
W 16 St & The High Line	(3, 8)
E 33 St & 5 Ave	(7, 7)
Grand Army Plaza & Central Park S	(3, 3)
8 Ave & W 31 St	(4, 9)
1 Ave & E 68 St	(17, 4)
Hicks St & Montague St	(2, 0)
W 70 St & Amsterdam Ave	(10, 8)
E 52 St & 2 Ave	(8, 4)
E 47 St & 2 Ave	(3, 5)
E 17 St & Broadway	(14, 14)
E 68 St & Madison Ave	(2, 2)
West St & Chambers St	(19, 23)
Central Park North & Adam Clayton Powell Blvd	(3, 1)
E 39 St & 2 Ave	(0, 5)
2 Ave & E 72 St	(0, 3)
Pershing Square North	(8, 14)
Wythe Ave & Metropolitan Ave	(3, 5)
Riverside Dr & W 72 St	(8, 10)
Central Park West & W 68 St	(6, 10)
Grand Ave & Bergen St	(1, 0)
E 93 St & 2 Ave	(3, 1)
E 74 St & 1 Ave	(10, 5)
5 Ave & E 73 St	(6, 5)
Fulton St & Waverly Ave	(4, 1)
W 18 St & 9 Ave	(11, 1)
Cooper Square & Astor Pl	(5, 6)
Richards St & Delavan St	(1, 0)
Riverside Blvd & W 67 St	(12, 11)
W 100 St & Broadway	(0, 1)
Barclay St & Church St	(11, 8)
Broadway & Berry St	(6, 7)
Front St & Maiden Ln	(9, 8)
E 59 St & Madison Ave	(21, 33)
Boerum St & Broadway	(2, 0)
5 Ave & E 63 St	(7, 2)
Riverside Dr & W 78 St	(5, 8)
Perry St & Bleecker St	(6, 6)
Driggs Ave & N Henry St	(2, 5)
E 10 St & 5 Ave	(6, 3)
Plaza St West & Flatbush Ave	(3, 1)
Clermont Ave & Lafayette Ave	(0, 1)
E 48 St & 3 Ave	(4, 5)
E 24 St & Park Ave S	(3, 8)
W 25 St & 6 Ave	(5, 14)
Murray St & Greenwich St	(8, 8)
W 18 St & 6 Ave	(2, 5)
Grand Army Plaza & Plaza St West	(1, 3)
W 31 St & 7 Ave	(6, 6)
Carlton Ave & Flushing Ave	(1, 3)
Bergen St & Flatbush Ave	(0, 4)
Emerson Pl & Myrtle Ave	(2, 1)
W 20 St & 11 Ave	(21, 31)
5 Ave & E 88 St	(5, 2)
W 4 St & 7 Ave S	(13, 1)
E 89 St & 3 Ave	(3, 3)
West Drive & Prospect Park West	(2, 7)
Fulton St & Broadway	(9, 6)
E 75 St & 3 Ave	(1, 3)
W 106 St & Amsterdam Ave	(3, 0)
Watts St & Greenwich St	(9, 5)
E 25 St & 1 Ave	(6, 2)
Lincoln Pl & Classon Ave	(0, 2)
Clinton St & Grand St	(6, 4)
Greenwich St & W Houston St	(13, 11)
FDR Drive & E 35 St	(8, 3)
E 11 St & 2 Ave	(4, 2)
Laight St & Hudson St	(0, 4)
E 9 St & Avenue C	(3, 5)
Pier 40 - Hudson River Park	(24, 17)
Dean St & 4 Ave	(0, 2)
7 Ave & Park Pl	(6, 3)
Eastern Pkwy & Franklin Ave	(2, 0)
North Moore St & Greenwich St	(9, 7)
W 34 St & 11 Ave	(22, 14)
Milton St & Franklin St	(9, 2)
E 82 St & East End Ave	(0, 1)
W 43 St & 6 Ave	(7, 3)
W 13 St & 5 Ave	(3, 4)
Huron St & Franklin St	(2, 4)
Grand St & Elizabeth St	(9, 10)
E 53 St & 3 Ave	(3, 3)
E 19 St & 3 Ave	(1, 1)
W 27 St & 7 Ave	(1, 1)
South End Ave & Liberty St	(26, 23)
7 Ave & Central Park South	(1, 3)
Henry St & Atlantic Ave	(0, 3)
Richardson St & N Henry St	(4, 3)
W 46 St & 11 Ave	(6, 22)
E 51 St & 1 Ave	(5, 1)
3 Ave & E 72 St	(1, 1)
Front St & Washington St	(2, 12)
W 106 St & Central Park West	(0, 2)
Smith St & 9 St	(0, 2)
Pike St & Monroe St	(0, 6)
Pleasant Ave & E 116 St	(0, 1)
Adelphi St & Myrtle Ave	(4, 1)
Hanson Pl & Ashland Pl	(3, 1)
1 Ave & E 94 St	(2, 2)
E 32 St & Park Ave	(2, 2)
4 Ave & 9 St	(1, 1)
9 Ave & W 28 St	(6, 5)
E 41 St & Madison Ave	(1, 2)
2 Ave & E 99 St	(0, 1)
University Pl & E 8 St	(4, 0)
Leonard St & Church St	(3, 1)
Avenue D & E 12 St	(5, 1)
5 Ave & 3 St	(1, 2)
W 82 St & Central Park West	(1, 2)
E 11 St & Avenue B	(10, 7)
Avenue D & E 8 St	(6, 5)
W 33 St & 7 Ave	(8, 7)
E 102 St & 1 Ave	(3, 2)
Central Park West & W 72 St	(1, 6)
West End Ave & W 107 St	(2, 1)
5 Ave & E 78 St	(5, 4)
Jackson St & Leonard St	(1, 1)
W 20 St & 7 Ave	(7, 0)
Broadway & W 53 St	(3, 2)
Bus Slip & State St	(10, 5)
E 16 St & 5 Ave	(14, 2)
W 120 St & Claremont Ave	(0, 1)
E 12 St & 3 Ave	(3, 6)
Franklin St & W Broadway	(5, 2)
Peck Slip & Front St	(10, 4)
Cathedral Pkwy & Broadway	(1, 0)
Johnson St & Gold St	(2, 1)
Hudson St & Reade St	(2, 10)
E 98 St & Park Ave	(1, 0)
6 St & 7 Ave	(1, 1)
Mercer St & Bleecker St	(10, 11)
Reade St & Broadway	(1, 2)
Amsterdam Ave & W 66 St	(1, 2)
Christopher St & Greenwich St	(31, 20)
DeKalb Ave & S Portland Ave	(2, 1)
Nassau Ave & Newell St	(4, 4)
Bergen St & Vanderbilt Ave	(2, 1)
Nostrand Ave & Myrtle Ave	(1, 0)
Graham Ave & Withers St	(1, 1)
Hope St & Union Ave	(4, 1)
Schermerhorn St & Bond St	(4, 2)
3 Ave & E 95 St	(1, 1)
Greenwich Ave & Charles St	(6, 2)
Amsterdam Ave & W 79 St	(4, 3)
Maiden Ln & Pearl St	(6, 3)
Madison St & Montgomery St	(2, 2)
Graham Ave & Grand St	(2, 1)
Lexington Ave & E 29 St	(1, 5)
Willoughby St & Fleet St	(6, 3)
W 44 St & 5 Ave	(1, 0)
Graham Ave & Conselyea St	(0, 3)
McKibbin St & Manhattan Ave	(2, 1)
DeKalb Ave & Franklin Ave	(1, 2)
Wyckoff St & 3 Ave	(1, 1)
Douglass St & 4 Ave	(1, 1)
E 84 St & 1 Ave	(0, 2)
11 Ave & W 59 St	(14, 9)
W 47 St & 10 Ave	(1, 7)
Cadman Plaza West & Montague St	(4, 1)
Fulton St & Rockwell Pl	(2, 2)
E 91 St & Park Ave	(0, 1)
Cherry St	(2, 2)
E 58 St &  1 Ave (NW Corner)	(0, 7)
W 95 St & Broadway	(2, 2)
Centre St & Chambers St	(14, 23)
5 Ave & E 29 St	(1, 4)
W 20 St & 8 Ave	(8, 5)
49 Ave & 21 St	(0, 3)
Verona Pl & Fulton St	(1, 1)
Frost St & Meeker Ave	(0, 1)
E 55 St & 2 Ave	(3, 3)
Bedford Ave & Nassau Ave	(3, 7)
Willoughby Ave & Hall St	(3, 3)
Concord St & Bridge St	(0, 1)
8 Ave & W 52 St	(2, 0)
Rivington St & Chrystie St	(8, 7)
Underhill Ave & Lincoln Pl	(3, 5)
Leonard St & Maujer St	(0, 1)
Throop Ave & Myrtle Ave	(1, 0)
W 37 St & 5 Ave	(4, 2)
Leonard St & Boerum St	(0, 1)
Center Blvd & 48 Ave	(3, 6)
Spruce St & Nassau St	(10, 4)
Cadman Plaza E & Johnson St	(7, 1)
Broadway & W 25 St	(2, 7)
Greenwich Ave & 8 Ave	(7, 11)
E 31 St & 3 Ave	(6, 3)
3 St & Prospect Park West	(5, 6)
Cedar St & Myrtle Ave	(1, 0)
LaGuardia Pl & W 3 St	(7, 9)
Willoughby Ave & Wyckoff Ave	(1, 2)
Clinton St & Joralemon St	(0, 1)
Mercer St & Spring St	(4, 10)
44 Dr & 21 St	(0, 1)
Broadway & W 37 St	(2, 7)
Lafayette Ave & Fort Greene Pl	(2, 3)
W 35 St & Dyer Ave	(4, 2)
W 88 St & West End Ave	(2, 2)
Prospect Park West & 8 St	(0, 1)
Franklin St & Dupont St	(3, 2)
W 37 St & 10 Ave	(2, 4)
N 15 St & Wythe Ave	(5, 1)
W 42 St & Dyer Ave	(3, 3)
Bond St & Fulton St	(3, 2)
Duffield St & Willoughby St	(1, 2)
Broadway & Battery Pl	(14, 5)
Lefferts Pl & Franklin Ave	(0, 2)
University Pl & E 14 St	(19, 7)
Bedford Ave & Bergen St	(0, 2)
East End Ave & E 86 St	(2, 0)
Washington Park	(1, 2)
Hancock St & Bedford Ave	(1, 0)
Bank St & Washington St	(14, 4)
Atlantic Ave & Fort Greene Pl	(2, 2)
Pike St & E Broadway	(7, 2)
Park Pl & Church St	(6, 1)
Kent Ave & S 11 St	(4, 3)
Fulton St & Grand Ave	(1, 0)
E 5 St & Avenue C	(3, 2)
Catherine St & Monroe St	(2, 2)
E 58 St & 3 Ave	(9, 2)
St James Pl & Pearl St	(2, 1)
39 St & 2 Ave - Citi Bike HQ at Industry City	(0, 2)
6 Ave & Broome St	(8, 8)
Division Av & Hooper St	(2, 1)
46 Ave & 5 St	(2, 1)
E 77 St & 3 Ave	(2, 2)
Montgomery St & Franklin Ave	(1, 0)
Court St & Nelson St	(1, 0)
Van Brunt St & Van Dyke St	(0, 4)
Bergen St & Smith St	(0, 3)
Dwight St & Van Dyke St	(0, 1)
Powers St & Olive St	(1, 1)
W 26 St & 8 Ave	(6, 4)
44 Dr & Jackson Ave	(0, 1)
St James Pl & Oliver St	(3, 6)
E 39 St & 3 Ave	(3, 1)
Bushwick Ave & Powers St	(2, 2)
E 43 St & 5 Ave	(1, 0)
Adam Clayton Powell Blvd & W 118 St	(0, 1)
Henry St & Grand St	(3, 2)
Madison Ave & E 82 St	(2, 4)
South St & Whitehall St	(7, 5)
N 11 St & Kent Ave	(1, 2)
Ditmars Blvd & 19 St	(1, 0)
South St & Gouverneur Ln	(16, 10)
48 Ave & 5 St	(3, 1)
Broadway & W 51 St	(2, 4)
Court St & State St	(0, 1)
W 84 St & Broadway	(3, 3)
S 5 Pl & S 5 St	(7, 6)
E 48 St & 5 Ave	(2, 2)
N 12 St & Bedford Ave	(1, 5)
Marcy Ave & Lafayette Ave	(0, 2)
E 43 St & 2 Ave	(1, 1)
W 38 St & 8 Ave	(4, 0)
Lorimer St & Broadway	(1, 0)
Soissons Landing	(0, 1)
Carlton Ave & Dean St	(4, 1)
31 St & Thomson Ave	(1, 2)
Atlantic Ave & Furman St	(1, 6)
3 Ave & E 62 St	(0, 1)
Park Pl & Franklin Ave	(1, 0)
Amsterdam Ave & W 125 St	(1, 2)
Driggs Ave & Lorimer St	(1, 0)
Central Park S & 6 Ave	(4, 7)
W 54 St & 9 Ave	(0, 3)
W 27 St & 10 Ave	(4, 3)
Berry St & N 8 St	(0, 5)
Douglass St & 3 Ave	(1, 0)
Henry St & Degraw St	(0, 1)
Waterbury St & Stagg St	(1, 0)
Pioneer St & Van Brunt St	(1, 2)
W 59 St & 10 Ave	(2, 2)
Myrtle Ave & St Edwards St	(2, 0)
State St & Smith St	(1, 1)
1 Ave & E 44 St	(1, 4)
W 24 St & 7 Ave	(4, 7)
Degraw St & Smith St	(1, 1)
Suydam St & Knickerbocker Ave	(4, 2)
Montrose Ave & Bushwick Ave	(2, 1)
E 81 St & 3 Ave	(1, 0)
Broadway & 12 St	(1, 0)
Clark St & Henry St	(6, 4)
Bayard St & Leonard St	(2, 0)
Myrtle Ave & Lewis Ave	(0, 2)
Steinway St & 23 Ave	(2, 0)
Pearl St & Anchorage Pl	(0, 4)
Broadway & Moylan Pl	(9, 1)
Franklin Ave & Empire Blvd	(1, 1)
14 St & 7 Ave	(1, 2)
W 100 St & Manhattan Ave	(0, 2)
Carroll St & 5 Ave	(0, 2)
Liberty St & Broadway	(4, 1)
Pierrepont St & Monroe Pl	(0, 2)
Clinton Ave & Flushing Ave	(1, 2)
Columbia Heights & Cranberry St	(0, 2)
Queens Plaza North & Crescent St	(4, 0)
Lexington Ave & E 36 St	(0, 2)
St Johns Pl & Washington Ave	(1, 2)
Dean St & Franklin Ave	(1, 0)
E 106 St & Madison Ave	(0, 1)
DeKalb Ave & Hudson Ave	(1, 1)
S 4 St & Rodney St	(5, 1)
Gansevoort St & Hudson St	(2, 3)
Baltic St & 5 Ave	(0, 2)
7 St & 5 Ave	(0, 2)
Clermont Ave & Park Ave	(1, 0)
West End Ave & W 94 St	(1, 5)
Carroll St & 6 Ave	(0, 1)
Avenue C & E 18 St	(4, 3)
William St & Pine St	(0, 6)
W 45 St & 6 Ave	(3, 0)
Central Park West & W 85 St	(4, 1)
36 Ave & 10 St	(1, 0)
Lafayette Ave & Classon Ave	(1, 3)
Bedford Ave & S 9 St	(1, 1)
W 92 St & Broadway	(1, 0)
Leonard St & Nassau Ave	(1, 2)
W 116 St & Broadway	(2, 0)
Fulton St & Utica Ave	(2, 0)
Bialystoker Pl & Delancey St	(3, 1)
Columbia St & Rivington St	(1, 6)
Broadway & W 38 St	(2, 2)
