Great Jones St	(21, 8)
E 11 St & 1 Ave	(263, 263)
Front St & Washington St	(12, 8)
Clinton Ave & Myrtle Ave	(120, 112)
Kent Ave & N 7 St	(26, 18)
N 6 St & Bedford Ave	(201, 204)
W 20 St & 8 Ave	(14, 8)
Vesey Pl & River Terrace	(286, 288)
Allen St & Stanton St	(14, 12)
Bank St & Hudson St	(204, 200)
E 23 St & 1 Ave	(195, 194)
Watts St & Greenwich St	(13, 16)
46 Ave & 5 St	(12, 6)
Vernon Blvd & 50 Ave	(94, 97)
W 43 St & 10 Ave	(186, 182)
Pershing Square North	(17, 19)
Lispenard St & Broadway	(145, 147)
St James Pl & Oliver St	(6, 7)
W 15 St & 10 Ave	(200, 225)
9 Ave & W 45 St	(8, 9)
1 Ave & E 18 St	(227, 201)
W 38 St & 8 Ave	(7, 11)
Grand Army Plaza & Central Park S	(7, 6)
W 64 St & Thelonious Monk Circle	(141, 118)
W 31 St & 7 Ave	(15, 15)
Peck Slip & Front St	(12, 14)
2 Ave & E 96 St	(1, 1)
E 81 St & York Ave	(79, 68)
1 Ave & E 78 St	(177, 161)
1 Ave & E 94 St	(0, 4)
Mott St & Prince St	(22, 13)
E 25 St & 1 Ave	(4, 5)
E 17 St & Broadway	(22, 34)
Cleveland Pl & Spring St	(31, 29)
E 39 St & 2 Ave	(9, 13)
Murray St & West St	(196, 222)
Park Pl & Church St	(5, 8)
W 53 St & 10 Ave	(4, 13)
W 16 St & The High Line	(7, 8)
Suffolk St & Stanton St	(202, 202)
E 20 St & Park Ave	(16, 12)
Lawrence St & Willoughby St	(8, 10)
E 4 St & 2 Ave	(19, 23)
W 16 St & 8 Ave	(3, 15)
Fulton St & Adams St	(80, 87)
Warren St & Court St	(2, 5)
Fulton St & William St	(11, 5)
Kane St & Clinton St	(3, 2)
White St & Moore St	(4, 0)
Bedford Ave & Nassau Ave	(3, 15)
12 Ave & W 40 St	(55, 49)
Howard St & Centre St	(163, 162)
Union Ave & Jackson St	(5, 3)
Christopher St & Greenwich St	(33, 23)
E 2 St & Avenue C	(132, 120)
24 St & 41 Ave	(1, 0)
E 16 St & 5 Ave	(14, 4)
Union Ave & N 12 St	(1, 8)
India St & Manhattan Ave	(3, 4)
Metropolitan Ave & Meeker Ave	(11, 5)
E 51 St & 1 Ave	(9, 8)
Avenue C & E 18 St	(5, 5)
Eastern Pkwy & Franklin Ave	(5, 2)
Classon Ave & St Marks Ave	(63, 55)
E 24 St & Park Ave S	(8, 14)
W 15 St & 7 Ave	(10, 11)
E 33 St & 5 Ave	(10, 9)
W 26 St & 8 Ave	(8, 8)
W 47 St & 10 Ave	(11, 14)
E 59 St & Madison Ave	(140, 149)
W Broadway & Spring Street	(18, 11)
St Marks Pl & 1 Ave	(21, 19)
Broadway & W 37 St	(3, 2)
