E 51 St & Lexington Ave	(49, 59)
E 47 St & 1 Ave	(2, 2)
Vesey Pl & River Terrace	(188, 180)
Water - Whitehall Plaza	(9, 4)
1 Ave & E 78 St	(138, 136)
Lexington Ave & E 63 St	(0, 4)
E 6 St & Avenue B	(13, 12)
Suffolk St & Stanton St	(129, 110)
W 43 St & 10 Ave	(156, 155)
Christopher St & Greenwich St	(21, 17)
Allen St & Hester St	(11, 5)
E 11 St & 1 Ave	(216, 208)
11 Ave & W 27 St	(9, 11)
W 64 St & Thelonious Monk Circle	(107, 114)
1 Ave & E 62 St	(12, 11)
W 37 St & 10 Ave	(3, 5)
6 Ave & Broome St	(19, 12)
W 15 St & 10 Ave	(144, 161)
2 Ave & E 31 St	(12, 9)
Howard St & Centre St	(118, 119)
E 89 St & York Ave	(6, 7)
E 20 St & 2 Ave	(7, 9)
Broadway & W 29 St	(12, 9)
1 Ave & E 18 St	(171, 181)
Kent Ave & N 7 St	(12, 17)
West St & Chambers St	(18, 22)
N 6 St & Bedford Ave	(187, 191)
Broadway & Berry St	(5, 14)
W 4 St & 7 Ave S	(11, 16)
Clinton Ave & Myrtle Ave	(68, 74)
E 59 St & Madison Ave	(67, 84)
Vernon Blvd & 50 Ave	(75, 64)
McGuinness Blvd & Eagle St	(16, 11)
W 41 St & 8 Ave	(12, 2)
MacDougal St & Washington Sq	(5, 7)
Cooper Square & Astor Pl	(4, 14)
W 22 St & 10 Ave	(7, 11)
Bank St & Hudson St	(173, 166)
Lispenard St & Broadway	(105, 116)
Stagg St & Union Ave	(7, 5)
Franklin St & W Broadway	(5, 3)
Franklin St & Dupont St	(2, 8)
E 58 St &  1 Ave (NW Corner)	(8, 3)
Division Ave & Marcy Ave	(1, 2)
E 33 St & 1 Ave	(11, 11)
W 31 St & 7 Ave	(11, 7)
E 12 St & 4 Av	(10, 7)
Cathedral Pkwy & Broadway	(3, 1)
Broadway & E 14 St	(24, 20)
Greenwich Ave & 8 Ave	(21, 10)
E 23 St & 1 Ave	(151, 154)
Union St & 4 Ave	(1, 1)
3 St & 7 Ave	(52, 51)
Sharon St & Olive St	(3, 0)
E 13 St & Avenue A	(11, 6)
E 2 St & Avenue C	(101, 118)
Smith St & 3 St	(3, 0)
University Pl & E 14 St	(20, 10)
Broadway & W 41 St	(7, 4)
E 11 St & Avenue B	(9, 5)
W 67 St & Broadway	(8, 4)
W 104 St & Amsterdam Ave	(2, 1)
Fulton St & Adams St	(75, 73)
Schermerhorn St & Bond St	(4, 2)
Fulton St & William St	(5, 3)
Nassau Ave & Newell St	(1, 5)
Cadman Plaza West & Montague St	(1, 3)
E 17 St & Broadway	(21, 16)
Murray St & West St	(106, 156)
Broadway & E 22 St	(11, 14)
E 39 St & 3 Ave	(2, 2)
Broadway & W 60 St	(21, 9)
E 2 St & Avenue A	(14, 16)
W 26 St & 8 Ave	(11, 8)
Lafayette Ave & Fort Greene Pl	(3, 3)
E 4 St & 2 Ave	(15, 17)
Washington Pl & 6 Ave	(9, 10)
Lafayette St & Jersey St	(10, 12)
E 74 St & 1 Ave	(6, 3)
E 81 St & York Ave	(50, 60)
Hudson St & Reade St	(6, 7)
Broadway & W 49 St	(5, 6)
Broad St & Bridge St	(45, 36)
46 Ave & 5 St	(7, 7)
Clinton St & Grand St	(11, 12)
Broadway & Roebling St	(4, 2)
W 106 St & Central Park West	(2, 0)
E 19 St & 3 Ave	(3, 3)
Division St & Bowery	(5, 6)
E 10 St & Avenue A	(6, 9)
Fulton St & Broadway	(8, 14)
Duane St & Greenwich St	(6, 3)
Mott St & Prince St	(10, 18)
Park Pl & Vanderbilt Ave	(3, 1)
Classon Ave & St Marks Ave	(29, 36)
Stanton St & Mangin St	(4, 3)
Underhill Ave & Pacific St	(38, 33)
Cumberland St & Lafayette Ave	(3, 2)
E 15 St & 3 Ave	(10, 19)
Liberty St & Broadway	(7, 12)
1 Ave & E 16 St	(14, 11)
Cherry St	(7, 6)
St Marks Pl & 2 Ave	(12, 9)
Wythe Ave & Metropolitan Ave	(11, 11)
Reade St & Broadway	(7, 1)
Forsyth St & Canal St	(5, 7)
W 26 St & 10 Ave	(7, 3)
W 54 St & 9 Ave	(3, 6)
Broadway & W 56 St	(7, 2)
Allen St & Rivington St	(10, 14)
W 50 St & 9 Ave	(4, 4)
Central Ave & Starr Street	(0, 1)
W 17 St & 8 Ave	(13, 9)
6 Ave & W 33 St	(17, 8)
E 9 St & Avenue C	(9, 13)
E 2 St & 2 Ave	(14, 14)
Franklin Ave & Myrtle Ave	(0, 1)
Grand St & Havemeyer St	(4, 7)
W 107 St & Columbus Ave	(1, 1)
Pike St & E Broadway	(8, 10)
DeKalb Ave & Hudson Ave	(2, 3)
Montrose Ave & Bushwick Ave	(3, 3)
Graham Ave & Herbert St	(2, 1)
W 20 St & 8 Ave	(5, 9)
Carmine St & 6 Ave	(13, 19)
W 24 St & 7 Ave	(8, 12)
W 15 St & 7 Ave	(10, 10)
Plaza St West & Flatbush Ave	(2, 3)
8 Ave & W 33 St	(9, 3)
Avenue D & E 3 St	(7, 4)
Bank St & Washington St	(10, 10)
Cedar St & Myrtle Ave	(1, 1)
8 Ave & W 31 St	(11, 17)
Madison St & Clinton St	(2, 1)
Bedford Ave & S 9 St	(3, 2)
McKibbin St & Bogart St	(1, 2)
E 33 St & 5 Ave	(13, 5)
Bedford Ave & Nassau Ave	(9, 4)
Lexington Ave & E 29 St	(3, 7)
Great Jones St	(7, 17)
Riverside Blvd & W 67 St	(16, 12)
Riverside Dr & W 82 St	(79, 92)
Lexington Ave & Classon Ave	(0, 1)
W 42 St & Dyer Ave	(5, 2)
E 65 St & 2 Ave	(3, 2)
E 58 St & 3 Ave	(9, 7)
E 43 St & 2 Ave	(2, 4)
Canal St & Rutgers St	(2, 7)
W 22 St & 8 Ave	(7, 8)
Riverside Dr & W 104 St	(3, 3)
E 84 St & Park Ave	(1, 2)
E 58 St & 1 Ave (NE Corner)	(0, 2)
Cleveland Pl & Spring St	(19, 15)
Watts St & Greenwich St	(7, 5)
University Pl & E 8 St	(4, 4)
Prospect Pl & Underhill Ave	(1, 0)
W 20 St & 11 Ave	(19, 17)
Johnson St & Gold St	(2, 0)
Broadway & Battery Pl	(9, 9)
E 88 St & 1 Ave	(6, 8)
Humboldt St & Varet St	(2, 2)
West Drive & Prospect Park West	(7, 6)
W 82 St & Central Park West	(0, 8)
Avenue C & E 18 St	(2, 9)
Pearl St & Hanover Square	(3, 2)
Willoughby St & Fleet St	(6, 3)
E 11 St & 2 Ave	(9, 2)
Little West St & 1 Pl	(22, 29)
William St & Pine St	(3, 6)
E 110 St & Madison Ave	(2, 1)
West Thames St	(24, 22)
1 Ave & E 68 St	(13, 10)
E 88 St & Park Ave	(2, 2)
E 10 St & 5 Ave	(4, 5)
W 38 St & 8 Ave	(9, 4)
W 59 St & 10 Ave	(8, 5)
Center Blvd & 51 Ave	(4, 2)
Centre St & Worth St	(2, 7)
Spruce St & Nassau St	(7, 4)
Forsyth St & Broome St	(8, 3)
9 Ave & W 45 St	(10, 8)
E 81 St & 3 Ave	(1, 5)
6 Ave & Canal St	(10, 3)
South St & Gouverneur Ln	(15, 11)
Maiden Ln & Pearl St	(4, 9)
Metropolitan Ave & Bedford Ave	(7, 7)
E 7 St & Avenue A	(8, 12)
5 Ave & E 103 St	(3, 2)
E 45 St & 3 Ave	(5, 1)
E 84 St & 1 Ave	(8, 6)
Greenpoint Ave & Manhattan Ave	(5, 7)
W 33 St & 7 Ave	(13, 9)
E 39 St & 2 Ave	(4, 8)
Lexington Ave & E 26 St	(9, 6)
Atlantic Ave & Furman St	(5, 6)
S 3 St & Bedford Ave	(16, 7)
E 93 St & 2 Ave	(2, 0)
E 76 St & Park Ave	(3, 4)
1 Ave & E 30 St	(3, 12)
E 72 St & York Ave	(2, 1)
E 52 St & 2 Ave	(8, 11)
W 25 St & 6 Ave	(2, 6)
W 13 St & 7 Ave	(9, 9)
Columbus Ave & W 95 St	(6, 1)
Clermont Ave & Lafayette Ave	(3, 4)
E 24 St & Park Ave S	(6, 11)
Riverside Dr & W 78 St	(3, 6)
