LaGuardia Pl & W 3 St	(17, 17)
E 2 St & Avenue C	(126, 117)
E 2 St & Avenue A	(7, 12)
W 43 St & 10 Ave	(148, 145)
Lexington Ave & E 26 St	(6, 11)
Pearl St & Hanover Square	(3, 3)
MacDougal St & Washington Sq	(5, 3)
E 11 St & 1 Ave	(234, 232)
Willoughby St & Fleet St	(14, 8)
Clinton Ave & Myrtle Ave	(65, 77)
Howard St & Centre St	(154, 150)
E 2 St & 2 Ave	(13, 7)
7 Ave & Park Pl	(6, 8)
3 St & 7 Ave	(43, 34)
St Marks Pl & 2 Ave	(11, 10)
E 27 St & 1 Ave	(6, 6)
Lispenard St & Broadway	(168, 157)
W 31 St & 7 Ave	(8, 12)
Allen St & Hester St	(8, 8)
Dean St & Franklin Ave	(1, 2)
Classon Ave & St Marks Ave	(24, 29)
E 20 St & FDR Drive	(27, 24)
E 23 St & 1 Ave	(208, 207)
E 2 St & Avenue B	(11, 7)
E 7 St & Avenue A	(10, 11)
Mercer St & Bleecker St	(14, 13)
9 Ave & W 45 St	(8, 4)
E 72 St & York Ave	(8, 9)
E 81 St & York Ave	(66, 62)
Fulton St & Adams St	(104, 91)
Pierrepont St & Monroe Pl	(4, 1)
E 11 St & 2 Ave	(16, 8)
Pershing Square North	(24, 21)
Monroe St & Classon Ave	(1, 1)
N 6 St & Bedford Ave	(129, 114)
Bedford Ave & Nassau Ave	(2, 7)
E 20 St & 2 Ave	(14, 5)
W 16 St & The High Line	(5, 13)
Nassau Ave & Newell St	(0, 4)
Broadway & Battery Pl	(15, 19)
1 Ave & E 78 St	(150, 137)
E 84 St & 3 Ave	(7, 11)
Lawrence St & Willoughby St	(2, 6)
Carmine St & 6 Ave	(9, 16)
Suffolk St & Stanton St	(129, 129)
Washington Pl & 6 Ave	(6, 9)
E 13 St & Avenue A	(11, 12)
W 42 St & Dyer Ave	(9, 3)
Broad St & Bridge St	(65, 66)
Broadway & W 51 St	(4, 11)
Stanton St & Chrystie St	(15, 14)
Richardson St & N Henry St	(1, 1)
Franklin St & W Broadway	(5, 11)
S 3 St & Bedford Ave	(9, 5)
St Marks Pl & 1 Ave	(9, 4)
S 4 St & Wythe Ave	(10, 23)
Little West St & 1 Pl	(12, 8)
Murray St & West St	(98, 116)
Barrow St & Hudson St	(18, 10)
Bank St & Hudson St	(111, 110)
E 74 St & 1 Ave	(3, 5)
W 50 St & 9 Ave	(6, 11)
W 52 St & 11 Ave	(7, 4)
W 15 St & 10 Ave	(129, 132)
W 35 St & Dyer Ave	(5, 3)
Rivington St & Ridge St	(4, 5)
W 18 St & 9 Ave	(8, 8)
E 9 St & Avenue C	(11, 6)
1 Ave & E 18 St	(191, 186)
South End Ave & Liberty St	(16, 14)
10 St & 7 Ave	(2, 1)
Fulton St & Waverly Ave	(2, 3)
Underhill Ave & Pacific St	(42, 30)
W 64 St & Thelonious Monk Circle	(115, 115)
Amsterdam Ave & W 73 St	(8, 7)
E 93 St & 2 Ave	(4, 1)
MacDougal St & Prince St	(17, 19)
Hudson St & Reade St	(19, 8)
Vesey Pl & River Terrace	(206, 205)
E 109 St & 3 Ave	(1, 0)
E 32 St & Park Ave	(17, 16)
W 42 St & 8 Ave	(7, 5)
Riverside Dr & W 82 St	(49, 44)
E 58 St &  1 Ave (NW Corner)	(0, 3)
Bergen St & Smith St	(7, 3)
Centre St & Chambers St	(22, 8)
Adelphi St & Myrtle Ave	(3, 0)
1 Ave & E 62 St	(13, 10)
E 51 St & Lexington Ave	(108, 109)
E 24 St & Park Ave S	(12, 21)
E 91 St & Park Ave	(1, 4)
Lexington Ave & E 29 St	(5, 9)
W 20 St & 8 Ave	(6, 11)
Avenue D & E 3 St	(3, 1)
West St & Chambers St	(19, 13)
Riverside Dr & W 104 St	(2, 3)
Lexington Ave & E 63 St	(6, 5)
