E 4 St & 2 Ave	(7, 8)
E 2 St & Avenue C	(50, 48)
LaGuardia Pl & W 3 St	(7, 11)
Howard St & Centre St	(58, 45)
21 St & 43 Ave	(3, 0)
1 Ave & E 78 St	(77, 75)
E 11 St & 1 Ave	(80, 80)
Washington Pl & 6 Ave	(3, 4)
Rivington St & Ridge St	(1, 2)
Suffolk St & Stanton St	(61, 56)
E 9 St & Avenue C	(3, 1)
1 Ave & E 62 St	(5, 6)
E 81 St & York Ave	(26, 40)
N 6 St & Bedford Ave	(42, 59)
S 3 St & Bedford Ave	(10, 3)
E 23 St & 1 Ave	(93, 106)
W 45 St & 6 Ave	(4, 5)
E 82 St & East End Ave	(4, 2)
Pershing Square South	(4, 2)
1 Ave & E 18 St	(70, 79)
Vernon Blvd & 50 Ave	(43, 35)
Milton St & Franklin St	(0, 5)
E 81 St & Park Ave	(1, 1)
Bayard St & Baxter St	(4, 2)
Allen St & Hester St	(3, 4)
St Marks Pl & 1 Ave	(5, 6)
W 41 St & 8 Ave	(6, 4)
Murray St & West St	(47, 45)
Lispenard St & Broadway	(75, 70)
W 43 St & 10 Ave	(74, 74)
Bank St & Hudson St	(40, 33)
44 Dr & Jackson Ave	(3, 0)
Bergen St & Smith St	(2, 6)
3 St & 7 Ave	(11, 15)
Center Blvd & 48 Ave	(1, 2)
Banker St & Meserole Ave	(1, 2)
Allen St & Stanton St	(4, 8)
W 15 St & 10 Ave	(42, 31)
W 27 St & 10 Ave	(2, 4)
Broadway & E 14 St	(12, 12)
Reade St & Broadway	(2, 2)
Carmine St & 6 Ave	(2, 5)
E 48 St & 5 Ave	(3, 5)
40 Ave & 9 St	(0, 3)
Clinton St & Union St	(2, 0)
Nassau Ave & Newell St	(5, 5)
E 11 St & Avenue B	(5, 6)
McGuinness Blvd & Eagle St	(9, 9)
Clinton Ave & Myrtle Ave	(38, 42)
Fulton St & Adams St	(46, 42)
E 91 St & Park Ave	(1, 1)
Broadway & W 29 St	(5, 4)
Mott St & Prince St	(3, 4)
47 Ave & 31 St	(2, 1)
E 59 St & Madison Ave	(53, 51)
E 72 St & York Ave	(3, 6)
E 24 St & Park Ave S	(11, 10)
W 42 St & 8 Ave	(5, 6)
E 114 St & 1 Ave	(1, 1)
West St & Chambers St	(4, 9)
E 77 St & 3 Ave	(7, 12)
W 21 St & 6 Ave	(6, 8)
Pearl St & Hanover Square	(1, 1)
Great Jones St	(7, 11)
Adam Clayton Powell Blvd & W 123 St	(1, 0)
Lafayette St & E 8 St	(8, 2)
E 93 St & 2 Ave	(1, 0)
Hudson St & Reade St	(5, 4)
1 Ave & E 68 St	(3, 9)
Vesey Pl & River Terrace	(54, 52)
Little West St & 1 Pl	(5, 5)
8 Ave & W 31 St	(12, 5)
