W 15 St & 10 Ave	(165, 189)
11 Ave & W 59 St	(5, 20)
Vesey Pl & River Terrace	(219, 232)
E 11 St & 1 Ave	(221, 202)
Stanton St & Chrystie St	(7, 8)
W 49 St & 8 Ave	(10, 5)
W 43 St & 10 Ave	(154, 137)
E 2 St & Avenue C	(102, 92)
E 13 St & Avenue A	(9, 14)
Howard St & Centre St	(117, 132)
E 7 St & Avenue A	(2, 12)
1 Ave & E 18 St	(184, 144)
Division Av & Hooper St	(4, 1)
Vernon Blvd & 50 Ave	(62, 84)
Center Blvd & 51 Ave	(9, 10)
W 64 St & Thelonious Monk Circle	(101, 91)
Broadway & W 60 St	(25, 13)
1 Ave & E 78 St	(160, 121)
S 3 St & Bedford Ave	(4, 7)
N 6 St & Bedford Ave	(136, 137)
Pier 40 - Hudson River Park	(52, 19)
Suffolk St & Stanton St	(133, 124)
Bayard St & Baxter St	(16, 8)
E 23 St & 1 Ave	(74, 83)
Kent Ave & N 7 St	(7, 18)
W 26 St & 8 Ave	(7, 6)
Concord St & Bridge St	(2, 2)
St Marks Pl & 2 Ave	(13, 17)
Wythe Ave & Metropolitan Ave	(10, 8)
W 45 St & 8 Ave	(5, 7)
Allen St & Rivington St	(11, 17)
E 17 St & Broadway	(23, 23)
E 2 St & Avenue B	(10, 3)
Rivington St & Ridge St	(4, 0)
E 81 St & York Ave	(55, 51)
Central Park North & Adam Clayton Powell Blvd	(2, 2)
Classon Ave & St Marks Ave	(49, 40)
8 Ave & W 52 St	(1, 2)
W 15 St & 6 Ave	(4, 6)
3 St & 7 Ave	(52, 47)
7 Ave & Park Pl	(8, 3)
Greenwich Ave & 8 Ave	(12, 11)
E 15 St & 3 Ave	(7, 10)
W 41 St & 8 Ave	(6, 4)
Grand St & Havemeyer St	(5, 5)
Fulton St & Adams St	(96, 85)
Clark St & Henry St	(2, 3)
1 Ave & E 30 St	(4, 11)
W 18 St & 9 Ave	(3, 6)
Eastern Pkwy & Washington Ave	(9, 0)
W 20 St & 7 Ave	(4, 5)
W 70 St & Amsterdam Ave	(9, 4)
E 6 St & Avenue B	(14, 5)
Stanton St & Norfolk St	(1, 11)
DeKalb Ave & Vanderbilt Ave	(2, 1)
Clinton Ave & Myrtle Ave	(80, 71)
E 11 St & Avenue B	(5, 6)
Center Blvd & 48 Ave	(1, 2)
E 2 St & Avenue A	(11, 12)
E 19 St & 3 Ave	(4, 4)
Broadway & E 14 St	(18, 20)
E 89 St & 3 Ave	(2, 4)
Allen St & Hester St	(14, 7)
Washington Ave & Park Ave	(0, 3)
Greenpoint Ave & Manhattan Ave	(5, 2)
W 106 St & Central Park West	(2, 1)
W 56 St & 10 Ave	(1, 4)
Milton St & Franklin St	(5, 9)
Bergen St & Vanderbilt Ave	(3, 3)
Bank St & Hudson St	(119, 112)
Rivington St & Chrystie St	(18, 7)
Cooper Square & Astor Pl	(6, 11)
E 2 St & 2 Ave	(8, 4)
E 24 St & Park Ave S	(1, 9)
Bond St & Fulton St	(2, 4)
Watts St & Greenwich St	(4, 3)
11 Ave & W 27 St	(23, 17)
Sullivan St & Washington Sq	(5, 7)
Underhill Ave & Pacific St	(38, 33)
Kingston Ave & Herkimer St	(0, 2)
Carroll St & Franklin Ave	(0, 1)
Prospect Pl & Underhill Ave	(1, 2)
1 Ave & E 68 St	(14, 12)
Allen St & Stanton St	(12, 14)
E 20 St & FDR Drive	(4, 9)
E 81 St & 2 Ave	(3, 3)
E 33 St & 5 Ave	(5, 8)
E 59 St & Madison Ave	(63, 78)
Lispenard St & Broadway	(101, 125)
E 25 St & 1 Ave	(4, 9)
S 5 Pl & S 5 St	(16, 10)
Forsyth St & Canal St	(7, 8)
W 35 St & Dyer Ave	(5, 1)
E 72 St & York Ave	(3, 1)
W 33 St & 7 Ave	(12, 6)
E 85 St & York Ave	(1, 1)
Atlantic Ave & Furman St	(4, 7)
Lafayette St & Jersey St	(12, 23)
E 47 St & 2 Ave	(2, 3)
Broadway & Berry St	(4, 2)
Forsyth St & Broome St	(9, 3)
W 47 St & 10 Ave	(4, 7)
Willoughby Ave & Hall St	(1, 2)
S 4 St & Wythe Ave	(10, 10)
Bedford Ave & S 9 St	(5, 0)
2 Ave & E 72 St	(5, 9)
E 88 St & 1 Ave	(4, 7)
6 Ave & Broome St	(21, 10)
11 Ave & W 41 St	(15, 3)
LaGuardia Pl & W 3 St	(13, 8)
E 30 St & Park Ave S	(3, 0)
Grand St & Elizabeth St	(16, 11)
Pacific St & Classon Ave	(2, 1)
E 74 St & 1 Ave	(0, 6)
Lafayette St & E 8 St	(9, 14)
Broadway & Roebling St	(2, 1)
W 42 St & 8 Ave	(4, 11)
Clermont Ave & Park Ave	(0, 1)
E 10 St & Avenue A	(11, 3)
Old Fulton St	(8, 14)
Norfolk St & Broome St	(11, 6)
E 31 St & 3 Ave	(5, 5)
E 20 St & 2 Ave	(6, 4)
9 Ave & W 45 St	(8, 5)
10 St & 7 Ave	(1, 5)
E 47 St & 1 Ave	(5, 1)
E 25 St & 2 Ave	(6, 11)
E 9 St & Avenue C	(6, 3)
Murray St & West St	(93, 114)
Myrtle Ave & Lewis Ave	(2, 2)
W 54 St & 9 Ave	(9, 8)
1 Ave & E 16 St	(10, 13)
McGuinness Blvd & Eagle St	(11, 8)
W 26 St & 10 Ave	(10, 7)
E 89 St & York Ave	(2, 3)
Greenwich Ave & Charles St	(4, 5)
