N 6 St & Bedford Ave	(118, 125)
DeKalb Ave & Franklin Ave	(0, 1)
E 2 St & 2 Ave	(12, 9)
E 11 St & 1 Ave	(145, 138)
Howard St & Centre St	(126, 124)
Pearl St & Hanover Square	(2, 5)
10 St & 7 Ave	(2, 2)
3 St & 7 Ave	(46, 40)
E 72 St & York Ave	(3, 6)
E 81 St & York Ave	(42, 41)
S 4 St & Wythe Ave	(14, 8)
Richardson St & N Henry St	(2, 0)
E 48 St & 5 Ave	(6, 14)
Bank St & Hudson St	(103, 99)
Bialystoker Pl & Delancey St	(5, 3)
Lispenard St & Broadway	(125, 125)
E 58 St & 1 Ave (NE Corner)	(2, 2)
W 18 St & 6 Ave	(15, 19)
Stanton St & Chrystie St	(8, 8)
Underhill Ave & Pacific St	(21, 21)
Bond St & Bergen St	(0, 2)
1 Ave & E 18 St	(158, 139)
E 20 St & FDR Drive	(8, 13)
Graham Ave & Conselyea St	(1, 3)
Gansevoort St & Hudson St	(9, 4)
Grand St & Elizabeth St	(9, 13)
Great Jones St	(11, 22)
E 7 St & Avenue A	(13, 10)
E 58 St &  1 Ave (NW Corner)	(1, 0)
Nassau Ave & Newell St	(3, 5)
E 51 St & 1 Ave	(7, 6)
E 51 St & Lexington Ave	(112, 122)
Grand Army Plaza & Central Park S	(8, 17)
E 59 St & Madison Ave	(115, 117)
Cleveland Pl & Spring St	(16, 15)
E 9 St & Avenue C	(8, 1)
Fulton St & Adams St	(68, 80)
Murray St & West St	(115, 101)
Cliff St & Fulton St	(5, 10)
1 Ave & E 16 St	(22, 19)
Washington Pl & Broadway	(8, 3)
Reade St & Broadway	(1, 5)
W 43 St & 10 Ave	(130, 125)
Little West St & 1 Pl	(15, 15)
Forsyth St & Broome St	(11, 10)
E 23 St & 1 Ave	(180, 173)
Cherry St	(7, 2)
Lewis Ave & Madison St	(2, 0)
1 Ave & E 78 St	(121, 127)
E 77 St & 3 Ave	(6, 14)
W 107 St & Columbus Ave	(1, 0)
Riverside Dr & W 82 St	(34, 40)
