E 23 St & 1 Ave	(137, 130)
28 Ave & 35 St	(1, 1)
Lexington Ave & E 26 St	(6, 3)
E 11 St & 1 Ave	(118, 120)
W 43 St & 10 Ave	(99, 99)
Amsterdam Ave & W 73 St	(2, 4)
Water - Whitehall Plaza	(6, 7)
Howard St & Centre St	(94, 99)
Underhill Ave & Pacific St	(21, 21)
1 Ave & E 16 St	(15, 10)
E 2 St & Avenue C	(89, 81)
Allen St & Rivington St	(8, 5)
Bank St & Hudson St	(97, 82)
W 41 St & 8 Ave	(11, 12)
Grand St & Elizabeth St	(11, 6)
Bergen St & Flatbush Ave	(1, 1)
Vesey Pl & River Terrace	(101, 118)
Greenwich St & W Houston St	(8, 8)
N 6 St & Bedford Ave	(89, 87)
Wythe Ave & Metropolitan Ave	(11, 11)
Broadway & Whipple St	(1, 0)
E 51 St & Lexington Ave	(69, 72)
E 88 St & 1 Ave	(3, 4)
E 45 St & 3 Ave	(4, 7)
E 81 St & York Ave	(64, 38)
E 72 St & York Ave	(6, 9)
E 77 St & 3 Ave	(4, 14)
St Marks Pl & 1 Ave	(16, 7)
9 Ave & W 45 St	(5, 4)
W 42 St & Dyer Ave	(6, 4)
W 35 St & Dyer Ave	(3, 2)
E 7 St & Avenue A	(13, 15)
1 Ave & E 18 St	(129, 107)
E 25 St & 1 Ave	(1, 5)
Roebling St & N 4 St	(0, 2)
Central Park S & 6 Ave	(7, 6)
Washington St & Gansevoort St	(7, 5)
Lispenard St & Broadway	(87, 111)
Broadway & W 60 St	(18, 10)
Riverside Dr & W 82 St	(32, 35)
Greenwich Ave & 8 Ave	(6, 11)
1 Ave & E 68 St	(8, 5)
1 Ave & E 78 St	(105, 90)
S 5 Pl & S 5 St	(5, 2)
W 15 St & 10 Ave	(61, 77)
W 27 St & 10 Ave	(2, 4)
Suffolk St & Stanton St	(72, 70)
E 13 St & Avenue A	(11, 5)
Milton St & Franklin St	(5, 4)
Broadway & W 51 St	(1, 4)
Lexington Ave & E 63 St	(3, 4)
Forsyth St & Canal St	(5, 7)
W 22 St & 10 Ave	(1, 4)
Barrow St & Hudson St	(11, 8)
E 89 St & York Ave	(1, 7)
Mott St & Prince St	(8, 2)
St Marks Pl & 2 Ave	(8, 6)
Nassau St & Navy St	(2, 1)
Vernon Blvd & 50 Ave	(49, 46)
43 St & Broadway	(0, 1)
9 Ave & W 18 St	(4, 0)
Fulton St & Adams St	(68, 68)
Cadman Plaza West & Montague St	(1, 2)
Murray St & West St	(65, 64)
E 6 St & Avenue B	(4, 3)
Forsyth St & Broome St	(12, 5)
E 2 St & 2 Ave	(7, 7)
Hudson St & Reade St	(5, 3)
W 52 St & 5 Ave	(5, 9)
Leonard St & Maujer St	(1, 0)
E 11 St & Avenue B	(8, 8)
Reade St & Broadway	(3, 2)
10 St & 7 Ave	(3, 1)
3 St & 7 Ave	(31, 30)
Classon Ave & St Marks Ave	(34, 30)
Columbia St & Lorraine St	(0, 1)
W 31 St & 7 Ave	(4, 9)
E 30 St & Park Ave S	(9, 4)
E 4 St & 2 Ave	(10, 7)
2 Ave & E 99 St	(0, 1)
E 16 St & Irving Pl	(4, 6)
E 84 St & 3 Ave	(3, 6)
E 58 St & 3 Ave	(6, 4)
W 45 St & 8 Ave	(7, 4)
E 19 St & 3 Ave	(2, 6)
S 4 St & Wythe Ave	(8, 11)
LaGuardia Pl & W 3 St	(3, 5)
E 48 St & 5 Ave	(4, 7)
W 26 St & 10 Ave	(4, 5)
E 32 St & Park Ave	(6, 7)
W 4 St & 7 Ave S	(7, 9)
2 Ave & E 72 St	(7, 13)
E 59 St & Madison Ave	(67, 71)
Lenox Ave & W 130 St	(0, 2)
E 123 St & Lexington Ave	(1, 1)
Madison Ave & E 82 St	(1, 2)
Cooper Square & Astor Pl	(6, 14)
8 Ave & W 33 St	(6, 12)
Broad St & Bridge St	(28, 41)
South St & Whitehall St	(3, 3)
Broadway & Berry St	(4, 7)
