St Marks Pl & 2 Ave	(9, 10)
1 Ave & E 18 St	(147, 133)
E 11 St & 1 Ave	(168, 164)
E 19 St & 3 Ave	(4, 5)
Lispenard St & Broadway	(103, 125)
Bank St & Hudson St	(109, 99)
W 38 St & 8 Ave	(3, 2)
W 64 St & Thelonious Monk Circle	(72, 73)
E 89 St & York Ave	(3, 3)
W 84 St & Broadway	(2, 6)
E 2 St & Avenue B	(8, 9)
Howard St & Centre St	(113, 114)
W 22 St & 10 Ave	(15, 13)
E 58 St & 1 Ave (NE Corner)	(1, 4)
W 31 St & 7 Ave	(5, 14)
Fulton St & Adams St	(125, 121)
Front St & Gold St	(3, 4)
St Johns Pl & Washington Ave	(2, 2)
Classon Ave & St Marks Ave	(51, 46)
E 20 St & 2 Ave	(7, 7)
E 81 St & York Ave	(58, 53)
Peck Slip & Front St	(14, 12)
South St & Whitehall St	(10, 10)
Broad St & Bridge St	(48, 61)
E 2 St & Avenue A	(10, 8)
N 6 St & Bedford Ave	(161, 169)
Metropolitan Ave & Bedford Ave	(3, 4)
7 Ave & Central Park South	(5, 2)
1 Ave & E 78 St	(118, 105)
Lefferts Pl & Franklin Ave	(3, 4)
E 27 St & 1 Ave	(3, 9)
Vesey Pl & River Terrace	(183, 210)
Watts St & Greenwich St	(10, 9)
Pier 40 - Hudson River Park	(35, 18)
Broadway & Roebling St	(5, 0)
Stanton St & Chrystie St	(6, 6)
E 2 St & Avenue C	(117, 92)
E 51 St & Lexington Ave	(41, 45)
W 41 St & 8 Ave	(9, 7)
E 13 St & Avenue A	(3, 6)
E 31 St & 3 Ave	(8, 1)
E 59 St & Madison Ave	(47, 48)
E 23 St & 1 Ave	(153, 155)
E 25 St & 2 Ave	(2, 7)
31 St & Broadway	(1, 0)
Vernon Blvd & 50 Ave	(64, 67)
W 43 St & 10 Ave	(84, 86)
Perry St & Bleecker St	(5, 8)
Park Pl & Franklin Ave	(0, 4)
Leonard St & Maujer St	(1, 2)
Forsyth St & Canal St	(5, 6)
Underhill Ave & Pacific St	(32, 33)
8 Ave & W 31 St	(11, 10)
Washington Pl & 6 Ave	(5, 3)
Jay St & York St	(6, 3)
West Thames St	(8, 15)
Riverside Dr & W 72 St	(7, 12)
E 58 St &  1 Ave (NW Corner)	(3, 4)
Park Pl & Vanderbilt Ave	(3, 0)
W 15 St & 10 Ave	(138, 170)
Riverside Dr & W 91 St	(5, 3)
Centre St & Chambers St	(17, 19)
W 20 St & 8 Ave	(3, 7)
Murray St & West St	(115, 141)
Greenwich St & W Houston St	(6, 6)
Cooper Square & Astor Pl	(3, 5)
Allen St & Stanton St	(9, 12)
Willoughby Ave & Hall St	(4, 5)
Rivington St & Chrystie St	(6, 4)
E 53 St & 3 Ave	(1, 2)
Lexington Ave & E 63 St	(4, 5)
Clermont Ave & Park Ave	(1, 1)
W 35 St & Dyer Ave	(5, 2)
Gansevoort St & Hudson St	(4, 11)
Kent Ave & N 7 St	(14, 16)
S 3 St & Bedford Ave	(11, 8)
Rivington St & Ridge St	(7, 4)
West End Ave & W 107 St	(1, 3)
Riverside Dr & W 82 St	(71, 70)
1 Ave & E 30 St	(10, 10)
Murray St & Greenwich St	(10, 5)
South End Ave & Liberty St	(24, 15)
Sullivan St & Washington Sq	(5, 5)
University Pl & E 14 St	(13, 10)
E 4 St & 2 Ave	(10, 9)
E 2 St & 2 Ave	(9, 7)
W 63 St & Broadway	(2, 1)
S 5 Pl & S 5 St	(4, 12)
E 39 St & 2 Ave	(6, 7)
Greenwich Ave & 8 Ave	(6, 9)
Canal St & Rutgers St	(10, 9)
E 16 St & Irving Pl	(3, 3)
Broadway & E 14 St	(16, 18)
McGuinness Blvd & Eagle St	(13, 16)
W 76 St & Columbus Ave	(2, 1)
Verona Pl & Fulton St	(1, 0)
E 75 St & 3 Ave	(4, 5)
Mott St & Prince St	(2, 3)
West Drive & Prospect Park West	(2, 3)
E 20 St & FDR Drive	(6, 15)
Barrow St & Hudson St	(10, 8)
Bond St & Fulton St	(9, 3)
Graham Ave & Grand St	(1, 0)
3 St & 7 Ave	(41, 44)
E 12 St & 4 Av	(5, 2)
W 15 St & 6 Ave	(8, 2)
Butler St & Court St	(0, 3)
Duane St & Greenwich St	(5, 4)
